Nazwa,Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Piętro,Liczba pięter,Liczba poziomów mieszkania,Liczba sypialni,Rynek,Rodzaj umowy,Typ budynku,Materiał budowlany,Rok budowy,Ogrzewanie,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Typ kuchni,Liczba łazienek,Balkon,Taras,Forma własności,Stan budynku,Stan nieruchomości,Stolarka okienna,Dostępne od,Wysokość wnętrza,łazienka razem z WC,Depozyt za wynajem,Pow. balkonu,Pow. ogródka,Cena do negocjacji,Pow. łazienki,Pow. użytkowa,Pow. tarasu,Dodatkowe koszty,Pow. loggii,Typ domu,Urządzony ogród,Typ nieruchomości,Typ oferty
WYJĄTKOWA NIERUCHOMOŚĆ W SAMYM SERCU SOPOTU,1980000.0,Sopot,Górny Sopot, 4,101.3,1,3,,,Wtórny,,Kamienica,Cegła,1915.0,Gazowe,28.03.2024,15.04.2024,morizon-PAN743973,130,1,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Idealna inwestycja w Sopociekilka minut do plaży,635000.0,Sopot,Kamienny Potok, 2,37.0,3,3,,,Wtórny,Na wyłączność,Blok,Wielka płyta,1975.0,Co Miejskie,05.03.2024,17.04.2024,morizon-PAN423328,252,1,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w Sopocie Dolnym - 2 min od morza,780000.0,Sopot,Dolny Sopot, 1,26.6,3,3,,,Wtórny,Na wyłączność,Kamienica,Cegła,1900.0,Elektryczne,17.02.2024,15.04.2024,morizon-PAN626926,278,1,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie z tarasem5 minut od morza,2299000.0,Sopot,Dolny Sopot, 3,57.1,1,3,1.0,2.0,Wtórny,Na wyłączność,Apartamentowiec,Konstrukcja żelbetowa,2018.0,Co Miejskie,12.02.2024,15.04.2024,morizon-324145126,453,1,,,,,,,,,30.01.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w Sopocie Dolnym z widokiem na morze,930000.0,Sopot,Dolny Sopot, 2,58.65,3,3,,,Wtórny,Na wyłączność,Kamienica,Cegła,1920.0,Gazowe,05.09.2023,15.04.2024,morizon-PAN130893,1 173,1,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopocki apartament z pięknym ogrodem,2340372.0,Sopot,Górny Sopot, 4,114.4,3,3,1.0,3.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,08.01.2024,15.04.2024,morizon-292722087,423,1,,,,,,,,,,,,,,,,,"107,54 m²",,,,,,,Sprzedaży
Jasny apartament na ostatnim piętrze w Sopocie,1100434.0,Sopot,Górny Sopot, 2,45.0,3,3,1.0,1.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,16.01.2024,20.04.2024,morizon-185497849,408,1,,,,,,,,,,,,,,,,,"43,41 m²",,,,,,,Sprzedaży
Rodzinny apartament z tarasem 24m2,2366820.0,Sopot,Górny Sopot, 4,101.1,1,3,1.0,3.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,12.12.2023,15.04.2024,morizon-204742748,318,1,,,,,,,,,,,,,,,,,"95,27 m²",,,,,,,Sprzedaży
Apartament w zaciszu sopockiego lasu,972047.0,Sopot,Górny Sopot, 2,49.4,3,3,1.0,1.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,12.12.2023,15.04.2024,morizon-249553616,515,1,,,,,,,,,,,,,,,,,"46,94 m²",,,,,,,Sprzedaży
Trzypokojowy apartament z wygodnym tarasem,1445359.0,Sopot,Górny Sopot, 3,68.7,2,3,1.0,2.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,12.12.2023,15.04.2024,morizon-471133471,362,1,,,,,,,,,,,,,,,,,"65,84 m²",,,,,,,Sprzedaży
Apartament | Taras 20m2 | Park Krajobrazowy,1597389.0,Sopot,Górny Sopot, 3,67.0,1,3,1.0,2.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,12.12.2023,15.04.2024,morizon-184068156,449,1,,,,,,,,,,,,,,,,,"63,85 m²",,,,,,,Sprzedaży
3 słoneczne pokoje w Dolnym Sopocie Bliisko plaży,980000.0,Sopot,Dolny Sopot, 3,53.74,2,4,,2.0,Wtórny,Na wyłączność,Blok,Cegła,1977.0,Co Miejskie,30.06.2023,18.04.2024,morizon-PAN407848,1 824,1,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament w zaciszu sopockiego lasu,1415173.0,Sopot,Górny Sopot, 2,55.9,3,3,1.0,1.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,12.12.2023,15.04.2024,morizon-418860856,314,1,,,,,,,,,,,,,,,,,"53,65 m²",,,,,,,Sprzedaży
Mieszkanie w Sopocie 2 min od Molo. Winda,1890000.0,Sopot,Dolny Sopot, 3,101.76,3,4,,,Wtórny,Na wyłączność,Kamienica,Cegła,1910.0,Gazowe,09.01.2024,10.04.2024,morizon-PAN788290,340,1,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 POKOJE BLISKO PLAŻY,1049000.0,Sopot,Wyścigi, 3,56.0,3,11,,,Wtórny,Na wyłączność,Blok,Wielka płyta,1977.0,Co Miejskie,04.01.2024,05.04.2024,morizon-PAN208935,450,1,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Nietuzinkowy apartament z kominkiem i sauną,2600000.0,Sopot,Dolny Sopot, 4,114.82,2,2,1.0,3.0,Wtórny,,Kamienica,Cegła,1910.0,Gazowe,27.01.2023,19.02.2024,morizon-806875785,2 368,1,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot Nowoczesna i Luksusowe Studio Premium,565000.0,Sopot,Brodwino, 1,33.0,2,11,1.0,1.0,Wtórny,Na wyłączność,Blok,Cegła,1975.0,Co Miejskie,23.01.2022,25.04.2023,morizon-PAN194902,3 751,1,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie inwestycyjne SOPOT,610000.0,Sopot,Górny Sopot, 2,37.41,8,10,,,Wtórny,Na wyłączność,Blok,,1972.0,Co Miejskie,19.03.2024,19.03.2024,morizon-TY666784,199,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Dwupokojowe mieszkanie z widokiem na las,653600.0,Sopot,Kamienny Potok, 2,34.4,9,10,1.0,,Wtórny,,Blok,Wielka płyta,1985.0,Co Miejskie,09.04.2024,09.04.2024,morizon-WH150752,108,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie z dusząblisko plaży,1685000.0,Sopot,Dolny Sopot, 4,86.88,2,3,1.0,3.0,Wtórny,,Kamienica,Cegła,1904.0,Gazowe,05.04.2024,05.04.2024,morizon-EC189917,173,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament w centrum sopotu z 2 miejscami w hali g,1850000.0,Sopot,Dolny Sopot, 3,73.0,1,3,,,Wtórny,,,,2013.0,C.o. miejskie,21.04.2024,20.04.2024,morizon-ML01144,33,0,Półotwarta,,Tak,Nie,(Nieznany),Do zamieszkania,,,,,,,,,,,,,,,,,,Sprzedaży
Urokliwa kamienica z charakterem SOPOT DOLNY,1980000.0,Sopot,Dolny Sopot, 3,89.53,3,3,,,Wtórny,Na wyłączność,Kamienica,CEGŁA,1898.0,C.O. GAZOWE,15.04.2024,15.04.2024,morizon-16080/9376/OMS,50,0,ODDZIELNA,,,,WŁASNOŚĆ,,DO REMONTU,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Świetna inwestycja blisko morza|Sopocka Rezydencja,1998000.0,Sopot,Karlikowo, 3,74.0,3,3,1.0,2.0,Wtórny,,Apartamentowiec,,2013.0,Co Miejskie,18.04.2024,17.04.2024,morizon-MG664805534,26,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament w świetnej lokalizacjiblisko plaży,3500000.0,Sopot,Dolny Sopot, 3,91.79,1,2,1.0,3.0,Wtórny,Na wyłączność,Kamienica,Cegła,1904.0,Gazowe,16.04.2024,16.04.2024,morizon-EC692435,43,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
KAWALERKA SOPOTPO GENERALNYM REMONCIE,570000.0,Sopot,Górny Sopot, 1,30.0,6,10,,,Wtórny,,Wieżowiec,,1970.0,Co Własne,22.03.2024,22.03.2024,morizon-TY575479,147,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Niesamowity widok na morze! Do plaży 300m,950000.0,Sopot,Dolny Sopot, 2,42.2,8,11,,,Wtórny,Na wyłączność,Wieżowiec,,1977.0,Co Miejskie,12.04.2024,15.04.2024,morizon-DH529572,99,0,,,Nie,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Uroczy apartament z ogródkiem,1042719.0,Sopot,Świemirowo, 2,45.2,3,3,,1.0,Pierwotny,,Apartamentowiec,,2024.0,,04.04.2024,11.04.2024,morizon-EC729169,42,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament z tarasem (13 m2),1138379.0,Sopot,Świemirowo, 2,49.2,2,3,,1.0,Pierwotny,,Apartamentowiec,,2024.0,,03.04.2024,03.04.2024,morizon-EC941933,44,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie z pięknym widokiemGórny Sopot,1390000.0,Sopot,Górny Sopot, 3,57.0,2,2,1.0,,Wtórny,,Blok,Cegła,1962.0,Co Miejskie,06.04.2024,09.04.2024,morizon-WH547907,83,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Przestronny apartament 2 pok. - Sopot,1421210.0,Sopot,Świemirowo, 2,55.9,3,3,,1.0,Pierwotny,,Apartamentowiec,,2024.0,,03.04.2024,03.04.2024,morizon-EC616287,22,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
125 m w super cenie,1749000.0,Sopot,Dolny Sopot, 4,125.0,4,4,,,Wtórny,,Kamienica,CEGŁA,1915.0,C.O. WŁASNE,17.04.2024,18.04.2024,morizon-3158/2060/OMS,26,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,WYSOKI STANDARD,,,330 cm,,,,,,,,,,,,,,Sprzedaży
Komfortowy apartament - widok na morze,2443214.0,Sopot,Świemirowo, 4,113.4,2,3,1.0,3.0,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,03.04.2024,03.04.2024,morizon-EC573422,29,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Komfortowy apartament przy lesie,2455180.0,Sopot,Świemirowo, 4,101.1,2,3,,3.0,Pierwotny,,Apartamentowiec,,2024.0,,03.04.2024,03.04.2024,morizon-EC968695,34,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Komfortowy apartament - wygoda i styl,1445359.0,Sopot,Świemirowo, 3,68.7,2,3,,2.0,Pierwotny,,Apartamentowiec,,2024.0,,03.04.2024,11.04.2024,morizon-EC203763,41,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Apartament w przedwojennej kamienicy,2799000.0,Sopot,Dolny Sopot, 7,147.37,2,3,,,Wtórny,,Kamienica,CEGŁA,1904.0,C.O. GAZOWE,10.01.2024,17.04.2024,morizon-2107/14016/OMS,292,0,ODDZIELNA,2.0,Tak,,WŁASNOŚĆ,,DOBRY,,01.02.2024,320 cm,,,,,,,,,,,,,,Sprzedaży
Elegancki apartament w świetnej lokalizacji- Sopot,2600000.0,Sopot,Dolny Sopot, 4,165.0,4,4,,,Wtórny,,Kamienica,CEGŁA,1905.0,,04.04.2024,04.04.2024,morizon-110/14376/OMS,50,0,ODDZIELNA,,,,,,WYSOKI STANDARD,,,,,,,,,,,,,,,,,Sprzedaży
2 pok. mieszkanie z ogródkiem blisko lasu,755000.0,Sopot,Górny Sopot, 2,37.9,1,2,,1.0,Wtórny,Na wyłączność,Kamienica,,1940.0,Gazowe,03.04.2024,09.04.2024,morizon-DH294788,89,0,,,Nie,,,,,,31.03.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie przy Monte Cassino,990000.0,Sopot,Dolny Sopot, 2,57.59,1,3,,,Wtórny,,Kamienica,Cegła,1950.0,Co Miejskie,10.04.2024,22.04.2024,morizon-DH385420,102,0,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Świetna lokalizacjabardzo blisko morza i centrum,1499000.0,Sopot,Dolny Sopot, 2,52.6,1,4,,,Wtórny,,Kamienica,,2000.0,Co Miejskie,09.04.2024,17.04.2024,morizon-DH982799,83,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
KLIMATYCZNE MIESZKANIE SOPOT DOLNY,2200000.0,Sopot,Dolny Sopot, 4,89.0,3,3,,,Wtórny,Na wyłączność,,,1900.0,Pompy ciepła,17.04.2024,17.04.2024,morizon-LX014754,38,0,Brak,1.0,Tak,Nie,Własność,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikalny apartament przy ścianie lasu,2500000.0,Sopot,Dolny Sopot, 3,55.9,1,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,,2007.0,Co Miejskie,14.04.2024,16.04.2024,morizon-380001,76,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 pokojewidok na zieleńnowe instalacje,849000.0,Sopot,Przylesie, 3,46.2,5,10,,,Wtórny,,Wieżowiec,Inne,1970.0,Co Miejskie,19.04.2024,22.04.2024,morizon-PAN487605,19,0,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie przy plaży i sopockim molo,1125000.0,Sopot,Dolny Sopot, 1,38.09,1,4,,,Wtórny,Na wyłączność,Kamienica,,2000.0,Co Własne,18.01.2024,18.01.2024,morizon-PARK1752470,193,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament w pasie nadmorskiem,1560000.0,Sopot,Karlikowo, 2,68.1,1,3,,1.0,Wtórny,Na wyłączność,Apartamentowiec,Silikat,2005.0,Co Miejskie,14.04.2024,15.04.2024,morizon-EC579551,73,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Do remontu-z ogródkiem-spokojna okolica,550000.0,Sopot,Kamienny Potok, 2,34.0,3,3,,1.0,Wtórny,,Kamienica,,1930.0,Gazowe,19.04.2024,19.04.2024,morizon-CP193627,42,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
2 POKOJE || TARAS || 5 MIN DO PLAŻY,1248000.0,Sopot,Dolny Sopot, 2,48.3,2,4,,,Wtórny,Na wyłączność,Kamienica,CEGŁA,1899.0,C.O. ELEKTRYCZNE,26.03.2024,28.03.2024,morizon-9218/8976/OMS,104,0,ODDZIELNA,1.0,,,WŁASNOŚĆ,,DOBRY,,,294 cm,,,,,,,,,,,,,,Sprzedaży
Sopot- 2 pokoje spacerem do plaży,1380000.0,Sopot,Dolny Sopot, 2,52.5,3,3,1.0,1.0,Wtórny,,Apartamentowiec,Silikat,2010.0,Co Miejskie,08.04.2024,17.04.2024,morizon-WH417774,83,0,,,,Tak,,,,,01.04.2024,,,,,,,,"51,50 m²",,,,,,,Sprzedaży
Wyjątkowy apartament w Sopocie,1995000.0,Sopot,Górny Sopot, 3,69.5,2,3,,,Wtórny,,Apartamentowiec,,,Co Miejskie,03.04.2024,03.04.2024,morizon-984239,62,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Inwestycyjne mieszkanie w Sopocie 200m od plaży,780000.0,Sopot,Dolny Sopot, 2,29.59,1,2,,,Wtórny,,Kamienica,Cegła,1904.0,Gazowe,04.04.2024,10.04.2024,morizon-AG468958,115,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Świetna inwestycja - mieszkanie na Monciaku,849000.0,Sopot,Dolny Sopot, 2,44.2,1,1,,,Wtórny,Na wyłączność,Kamienica,,,Gazowe,11.04.2024,11.04.2024,morizon-NN387787,71,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot - Apartament z widokiem na morze,1821601.0,Sopot,Świemirowo, 3,69.2,3,3,1.0,2.0,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,28.01.2024,14.02.2024,morizon-EC578719,154,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
MIeszkanie 2-pok | Kamienny Potok | Widok na las,559000.0,Sopot,Kamienny Potok, 2,35.0,6,10,,,Wtórny,,Wieżowiec,,1970.0,C.O. Z SIECI MIEJSKIEJ,15.04.2024,15.04.2024,morizon-25462/7649/OMS,58,0,ODDZIELNA,1.0,Tak,,SPÓŁDZIELCZE WŁASNOŚCIOWE,,WYSOKI STANDARD,,15.04.2024,,,,,,,,,,,,,,,Sprzedaży
Idealne pod inwestycjęmieszkanie dla pary-gotowe,799000.0,Sopot,Kamienny Potok, 2,48.5,3,3,,1.0,Wtórny,,Blok,,1980.0,Co Miejskie,16.04.2024,16.04.2024,morizon-CP898490,46,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
KAMIENICA Z WINDĄ,1090000.0,Sopot,Dolny Sopot, 3,56.83,1,4,,,Wtórny,,Kamienica,Cegła,1905.0,Elektryczne,12.04.2024,16.04.2024,morizon-PAN212048,97,0,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Polna Sopot apartament,2400000.0,Sopot,Dolny Sopot, 3,76.5,3,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,Cegła,2015.0,,09.04.2024,18.04.2024,morizon-152,165,0,Aneks,1.0,Tak,Tak,Własność,Bardzo dobry,Bardzo dobry,,,300 cm,Tak,,9 m²,,Tak,9 m²,,12 m²,,,,,,Sprzedaży
Apartament z werandą i parkingiemprzy plaży,2700000.0,Sopot,Dolny Sopot, 3,93.3,3,3,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1925.0,Gazowe,25.03.2024,30.03.2024,morizon-EC513205,221,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Atrakcyjne 3 pokojowe mieszkanie SOPOT BRODWINO,651250.0,Sopot,Brodwino, 3,52.1,10,10,,2.0,Wtórny,Na wyłączność,Wieżowiec,,1976.0,Co Miejskie,26.03.2024,18.04.2024,morizon-TY406088,163,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie 3-pokojowe w spokojnej okolicy Sopotu ,705000.0,Sopot,Kamienny Potok, 3,47.0,3,3,,2.0,Wtórny,Na wyłączność,Blok,,1966.0,Co Miejskie,22.03.2024,25.03.2024,morizon-DH381759,163,0,,,Nie,,,,,,18.03.2024,,,,,,,,,,,,,,,Sprzedaży
3 pokojowe mieszkanie na Brodwinie,795000.0,Sopot,Brodwino, 3,54.75,3,3,1.0,2.0,Wtórny,Na wyłączność,Wieżowiec,Wielka płyta,1980.0,Co Miejskie,19.03.2024,13.04.2024,morizon-WH274385,194,0,,,Tak,,,,,,,,,,,,,,"52,26 m²",,,,,,,Sprzedaży
3-pok. mieszkanie (56 mkw.) w dolnym Sopocie,899000.0,Sopot,Karlikowo, 3,56.0,2,12,1.0,2.0,Wtórny,Na wyłączność,Blok,Wielka płyta,1977.0,Co Miejskie,18.04.2024,18.04.2024,morizon-CP1252253,41,0,,,Tak,,,,,,16.04.2024,,,,,,,,,,,,,,,Sprzedaży
Sopot Górny 35m2 od ZARAZ,555000.0,Sopot,Górny Sopot, 2,34.62,3,4,,2.0,Wtórny,,Budynek wielorodzinny,Cegła i gazobeton,1966.0,,01.12.2023,29.12.2023,morizon-M4G-MS-157,752,0,,1.0,,,,,Do odnowienia,"PCV 3 szyby, ciepły montaż",,260 cm,Tak,,,,,,,,500.0,,,,,Sprzedaży
Apartament w Sopocie | Pas Nadmorski,1199000.0,Sopot,Dolny Sopot, 2,50.7,3,3,1.0,1.0,Wtórny,Na wyłączność,Apartamentowiec,,2007.0,Co Miejskie,09.04.2024,22.04.2024,morizon-ON447835,97,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Lokal dla inwestora- Sopot świetna lokalizacja,1250000.0,Sopot,Dolny Sopot, 3,133.58,1,2,1.0,,Wtórny,Na wyłączność,Dom wielorodzinny,Cegła,2003.0,Gazowe,14.02.2024,14.03.2024,morizon-107876,242,0,,,,,,,,,07.11.2023,,,,,,,,133 m²,,,,,,,Sprzedaży
MIeszkanie 2-pok | Kamienny Potok | 5min do plaży,615000.0,Sopot,Kamienny Potok, 2,37.0,3,10,,,Wtórny,,Wieżowiec,,,C.O. Z SIECI MIEJSKIEJ,31.03.2024,31.03.2024,morizon-25416/7649/OMS,82,0,,,,,,,WYSOKI STANDARD,,31.03.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie 55m2 przy trójmiejskim parku krajobrazo,1080292.0,Sopot,Górny Sopot, 2,55.68,1,7,,,Wtórny,,,,2024.0,,20.04.2024,19.04.2024,morizon-ML01142,23,0,Półotwarta,1.0,Nie,Nie,Własność,Do wykończenia,,,,,,,"3,89 m²",,,,,,,"3,89 m²",,,,Sprzedaży
Sopotnowy apartament z ogrodem8 minut do plaży,1290000.0,Sopot,Dolny Sopot, 2,38.74,3,3,1.0,1.0,Wtórny,,,TRADYCYJNA,2023.0,C.O. Z SIECI MIEJSKIEJ,19.03.2024,22.04.2024,morizon-1062/CTN/MS-53203,129,0,ANEKS KUCHENNY,1.0,,Tak,PEŁNA WŁASNOŚĆ,WYSOKI STANDARD,WYSOKI STANDARD,DREWNIANE,,300 cm,Nie,,,,,,,,,,2-POKOJOWE,Tak,,Sprzedaży
Mieszkanie 72m2 z ogrodem przy trójmiejskim parku,1495540.0,Sopot,Górny Sopot, 3,71.92,3,3,,,Wtórny,,,,2024.0,C.o. miejskie,20.04.2024,19.04.2024,morizon-ML01143,29,0,Półotwarta,1.0,Nie,Tak,Własność,Do wykończenia,,,,,,,"9,44 m²",,,,,,,,,,,Sprzedaży
Wyjątkowe Mieszkanie z Dużym Ogródem w Kameralnym Budynku w Sopocie,2337500.0,Sopot,Górny Sopot, 5,106.25,3,3,1.0,,Pierwotny,,Apartamentowiec,Zróżnicowany,2024.0,,05.04.2024,05.04.2024,morizon-23,40,0,Aneks,3.0,Nie,Nie,Własność,Surowy zamknięty,Do wykończenia,,30.06.2024,,Tak,,,,,"4,29 m²",,,,,,,,Sprzedaży
Kawalerka w Sopocie do zamieszkania OD ZARAZ,410000.0,Sopot,Kamienny Potok, 1,18.88,3,3,,1.0,Wtórny,Na wyłączność,Blok,Wielka płyta,1976.0,Co Miejskie,21.04.2024,22.04.2024,morizon-PAN651066,24,0,,,Tak,Nie,,,,,22.04.2024,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Mieszkanie z widokiem na las Doskonała lokalizacja,650000.0,Sopot,Górny Sopot, 3,46.16,10,10,,3.0,Wtórny,,,,,,20.03.2024,20.03.2024,morizon-EC111111470787,146,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 pokoje Sopot z ogromnym potencjałem 47m2,650000.0,Sopot,Dolny Sopot, 3,47.0,10,10,,3.0,Wtórny,,Budynek wielorodzinny,"Beton, ocieplony, płyta",1985.0,,03.11.2023,03.11.2023,morizon-M4G-MS-145,507,0,Jasna z oknem,1.0,Tak,Tak,,,Do remontu,"PCV, DREWNIANE STARY TYP",,265 cm,,,6 m²,,,,,,450.0,,,,,Sprzedaży
3 pokoje w pięknej kamienicy w Sopocie Górnym,999000.0,Sopot,Górny Sopot, 3,66.1,3,3,,,Wtórny,,Kamienica,,1887.0,,19.04.2024,20.04.2024,morizon-TH938438,36,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie 3-pokojowe z duszą | Sopot,1075000.0,Sopot,Górny Sopot, 3,68.42,3,3,,,Wtórny,,Kamienica,CEGŁA,,C.O. GAZOWE,26.03.2024,09.04.2024,morizon-340/9733/OMS,326,0,ANEKS KUCHENNY,1.0,,,WŁASNOŚĆ,,,,27.03.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie po remoncie w Górnym Sopocie,1490000.0,Sopot,Górny Sopot, 3,64.38,2,3,,,Wtórny,Na wyłączność,,Cegła,1950.0,C.o. miejskie,16.04.2024,18.04.2024,morizon-ZA016497,61,0,Osobna,1.0,Tak,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot Dolny 4-pokojowe mieszkanie z pięknym balkon,1500000.0,Sopot,Dolny Sopot, 4,81.12,1,3,,,Wtórny,,,,1910.0,Gazowe,10.04.2024,12.04.2024,morizon-KO07019,98,0,Osobna,1.0,Tak,Nie,Własność,Do remontu,,,,,Nie,,,,,,,,,,,,,Sprzedaży
Komfortowe 4 Pokoje Nowa Inwestycja 1 5 km od Molo,2290825.0,Sopot,Górny Sopot, 4,106.55,1,3,,3.0,Pierwotny,,Apartamentowiec,,2024.0,Co Miejskie,17.04.2024,17.04.2024,morizon-181414,26,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie Sopot 2 pok blisko plaża i las - okazja - właściciel,559000.0,Sopot,Kamienny Potok, 2,35.0,6,10,,,Wtórny,,Blok,Wielka płyta,,,05.04.2024,06.04.2024,morizon-gratka-34192533,115,0,Osobna,,Tak,,,,,,01.06.2024,,Tak,,,,,,,,,,,,,Sprzedaży
3 pokoje z widokiem na Zatokę | Sopot,649000.0,Sopot,Przylesie, 3,46.5,9,10,1.0,3.0,Wtórny,Na wyłączność,Wieżowiec,Pustak,1972.0,Co Miejskie,26.03.2024,18.04.2024,morizon-ON955902,214,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Idealny apartament z podziałem na 2 osobne lokale,1499000.0,Sopot,Górny Sopot, 4,70.12,3,3,,3.0,Wtórny,Na wyłączność,Kamienica,,1907.0,Gazowe,05.03.2024,15.04.2024,morizon-DH335317,223,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
3 pokoje w świetnej lokalizacji,709000.0,Sopot,Kamienny Potok, 3,53.0,2,10,,,Wtórny,,Wieżowiec,,1980.0,Co Miejskie,16.11.2023,01.12.2023,morizon-PH588889,450,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
