Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba sypialni|Balkon|Rynek|Rodzaj umowy|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba poziomów mieszkania|Dostępne od|Typ budynku|Materiał budowlany|Ogrzewanie|Inwestycja|Stan nieruchomości|Typ kuchni|Liczba łazienek|łazienka razem z WC|Taras|Pow. ogródka|Forma własności|Stolarka okienna|Pow. tarasu|Pow. loggii|Pow. balkonu|Stan budynku|Wysokość wnętrza|Pow. łazienki|Pow. użytkowa|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
Mieszkanie 4-pok. w centrum Górnego Wrzeszcza w Gdańsku|1 100 000 zł|Gdańsk, |Wrzeszcz, | • 4 pokoje|84 m²|3/3|3||Tak|Wtórny|Na wyłączność|1960|14.03.2024|11.04.2024|morizon-42|340|55|1|01.06.2024|Blok|Zróżnicowany|Miejskie||Dobry|Osobna|1|Tak|Nie||Własność||||3,50 m²|Dobry|273 cm|2,70 m²|||||||
Apartament tuż przy Starym Mieście - widok na wodę|396 469 zł|Gdańsk, |Śródmieście, | • 1 pokój|26,19 m²|2/4|4|||Pierwotny||2024|11.10.2023|27.03.2024|morizon-416/8114/OMS|1 215|53||30.12.2024|APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ||DO WYKOŃCZENIA||||||||||||||||||||
Opis nieruchomości|635 400 zł|Gdańsk, |Jasień, | • 3 pokoje|55,59 m²||||Tak|Pierwotny||2024|18.01.2024|22.04.2024|morizon-22-22B/M30|316|51||||||Javorova|||||||||||3,78 m²||||||||||
Dwupoziomowe mieszkanie w pięknej okolicy|995 000 zł|Gdańsk, |Ujeścisko-Łostowice, | • 4 pokoje|137 m²|1/2|2||Tak|Wtórny|Na wyłączność|2013|09.04.2024|17.04.2024|morizon-233|60|50|2|10.04.2024|Apartamentowiec|Bloczki|Miejskie||Bardzo dobry|Aneks|2|Tak|Tak||Własność|||||Bardzo dobry||8 m²|113 m²||||||
Mieszkanie inwestycyjne, 3 niezależne apartamenty na wynajem|1 250 000 zł|Gdańsk, |Oliwa, | • 6 pokoi|82 m²|3/4|4|||Wtórny|||19.03.2024|19.04.2024|morizon-gratka-33848953|325|50||19.03.2024|Kamienica|||||Aneks||Nie|||Własność||||||||||||||
Apartament pod inwestycje - 100 m od plaży|1 350 000 zł|Gdańsk, |Jelitkowo, | • 2 pokoje|38,30 m²||4|1||Wtórny||2010|18.12.2023|11.04.2024|morizon-356185|837|0|||Apartamentowiec||||||||Tak||||||||||||||||
Przestronne i stylowe mieszkanie przy samym lesie - Twój nowy DOM :)|737 777 zł|Gdańsk, |Oliwa, | • 3 pokoje|52,20 m²||10||Tak|Wtórny||1980|03.01.2024|19.04.2024|morizon-gratka-32915079|242|50||01.02.2024|Blok||||Dobry|Osobna||Tak|||Własność||||||||||||||
Mieszkanie w sercu starówki|1 280 000 zł|Gdańsk, |Śródmieście, | • 4 pokoje|57 m²|3/4|4|||Wtórny|||22.04.2024|22.04.2024|morizon-gratka-34360977|1|50|||Kamienica|||||||Tak|||||||||||||||||
Mieszkanie w Gdańsku ul. Ofiar Grudnia 70. Dwa miejsca postojowe w cenie|695 000 zł|Gdańsk, |Łostowice, | • 3 pokoje|52,72 m²|4/4|4||Tak|Wtórny||2022|30.08.2023|19.04.2024|morizon-gratka-31504545|1 132|50||01.09.2023|Blok|||||Aneks||Tak|||Własność||||||||||||||
TBS zgrabne 2 pokoje|169 000 zł|Gdańsk, |Zakoniczyn, | • 2 pokoje|32 m²|4/4|4||Nie|Wtórny|Na wyłączność|2005|10.04.2024|11.04.2024|morizon-JI03479|463|47|||||C.o. miejskie|||Brak|1||Nie||(Nieznany)|||||Bardzo dobry|||||||||
