Nazwa|Cena|Miasto|Dzielnica|Stan nieruchomości|Pow. całkowita|Piętro|Liczba pięter|Typ kuchni|łazienka razem z WC|Stolarka okienna|Depozyt za wynajem|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Balkon|Rok budowy|Liczba poziomów mieszkania|Liczba łazienek|Stan budynku|Pow. łazienki|Taras|Pow. ogródka|Liczba sypialni|Wysokość wnętrza|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Pow. użytkowa|Dodatkowe koszty|Pow. loggii
Premium/ Wyjątkowa oferta ul. Piwna w Gdańsku|4 500 zł|Gdańsk, |Stare Miasto, ||35 m²|1/4|4|||||Wtórny|||Na wyłączność|Kamienica|Cegła|Elektryczne|02.04.2024|09.04.2024|morizon-PAN350908|62|1|Nie|||||||||||||||
Serce Gdańska! Dostępne od ZARAZ|2 700 zł|Gdańsk, |Śródmieście, ||30 m²||4|||||Wtórny|24.03.2024|||Kamienica|Cegła|Co Miejskie|24.03.2024|29.03.2024|morizon-PAN456441|133|1|Nie|1900|||||Nie||1|||||||
"Gdańsk Zaspa | Inwestycja Impuls | 2 osobne pokoje"|3 300 zł|Gdańsk, |Zaspa, ||44 m²|2/4|4|||||Wtórny|01.03.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|21.02.2024|12.04.2024|morizon-300654|222|1|Tak|2020|1||||||1|||||||
Wysoki standard, najwyższe piętro, 2 pokoje, Scala|3 500 zł|Gdańsk, |Śródmieście, ||42 m²|5/5|5|||||Wtórny||||Apartamentowiec|Cegła|Co Miejskie|18.03.2024|12.04.2024|morizon-PAN864836|176|1|Tak|||||||||||||||
Mieszkanie (65 m 2) trzypokojowe z ogródkiem 90 m|3 900 zł|Gdańsk, |Orunia Górna-Gdańsk Południe, |Bardzo dobry|65 m²||4|Aneks|Tak|||Wtórny||Własność|Na wyłączność|Dom wielorodzinny|Pustak|Miejskie|13.03.2024|05.04.2024|morizon-374392|211|1|Nie|2012|1|1|Bardzo dobry||Tak|90 m²||300 cm|||30 m²|||
2 pokoje z parkingiem i ogródkiem|2 700 zł|Gdańsk, |Orunia Górna, |WYSOKI STANDARD|39,28 m²||3|||||Wtórny|30.04.2024|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|28.02.2024|08.04.2024|morizon-48684/2089/OMW|191|1|Tak|2019||||||||||||||
Komfortowe mieszkanie w centrum Wrzeszcza|4 800 zł|Gdańsk, |Wrzeszcz, ||85 m²|2/3|3|||||Wtórny|29.02.2024||Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|29.02.2024|10.04.2024|morizon-PAN517060|270|1|Tak||2|||||||||||||
2 pokoje, wynajem, wysoki standard, piwnica|2 800 zł|Gdańsk, |Siedlce, ||33,43 m²||4|||||Wtórny||||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|29.03.2024|03.04.2024|morizon-PAN820196|94|1|Tak|2014|||||Nie|||||||||
2 pokoje z balkonem, miejscem w hali i piwnicą|3 500 zł|Gdańsk, |Przymorze, ||45,13 m²|4/12|12|||||Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|Co Miejskie|08.03.2024|26.03.2024|morizon-PAN899647|237|1|Tak|2022|1|||||||||||||
"Mieszkanie idealne dla rodziny | Osiedle Focha"|4 500 zł|Gdańsk, |Aniołki, ||84 m²|2/4|4|||||Wtórny|22.03.2024|||Blok Mieszkalny||Co Miejskie|18.03.2024|22.03.2024|morizon-342234|207|1||2001|1|||||||||||||
Nowe mieszkanie w centrum wysoki standard|4 000 zł|Gdańsk, |Śródmieście, ||45 m²|5/6|6|||||Wtórny|27.02.2024|||Apartamentowiec||Co Miejskie|11.03.2024|21.03.2024|morizon-671806|150|1|Tak|2021|1||||||1|||||||
Nowe, w pełni wyposażone, blisko stacji PKM|2 700 zł|Gdańsk, |Kiełpinek, ||40,26 m²|2/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|13.03.2024|05.04.2024|morizon-PAN296593|155|1|Tak|||||||||||||||
wygodna kawalerka po remoncie|2 500 zł|Gdańsk, |Zaspa, ||31 m²|3/10|10|||||Wtórny|30.03.2024|||Blok Mieszkalny|Wielka płyta|Co Miejskie|20.03.2024|29.03.2024|morizon-PAN102231|178|1|Nie|1979||||||||||||||
Nowoczesne mieszkanie w centrum Gdańska|4 500 zł|Gdańsk, |Śródmieście, ||54 m²|6/17|17|||||Wtórny|02.02.2024|||Wieżowiec||Co Miejskie|27.02.2024|21.03.2024|morizon-786985|188|1|Tak|2018||||||||||||||
Idealne 2 pokoje śródmieście Gdańsk|2 800 zł|Gdańsk, |Śródmieście, ||35,48 m²|2/5|5|||||Wtórny|||Na wyłączność|Apartamentowiec|Inne|Co Miejskie|07.02.2024|11.04.2024|morizon-PAN326720|263|1|Tak|2020|||||Nie|||||||||
Dwa pokoje z balkonem i dostępem do siłowni|2 850 zł|Gdańsk, |Piecki-Migowo, ||49 m²|1/3|3|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Silikat|Co Miejskie|01.03.2024|21.03.2024|morizon-PAN242588|221|1|Tak|2019|||||||1|||||||
Komfortowe mieszkanie (52 m 2) znajdujące si|4 000 zł|Gdańsk, |Śródmieście, ||52 m²|2/6|6|||||Wtórny|12.04.2024||||||18.03.2024|12.04.2024|morizon-657056|164|1||2021|1||||||1|||||||
Apartament z widokiem w centrum Gdańska|7 500 zł|Gdańsk, |Śródmieście, ||76,40 m²|4/5|5|||||Wtórny||||Apartamentowiec||Co Miejskie|01.03.2024|04.03.2024|morizon-462236|177|1||2020|1||||||2|||||||
Kawalerka w dobrej okolicy|1 800 zł|Gdańsk, |Przymorze, ||27 m²|4/4|4|||||Wtórny|16.10.2023|||Blok Mieszkalny|YTong|Co Miejskie|14.03.2024|14.03.2024|morizon-PAN776958|415|1|Tak|||||||||||||||
Mieszkanie 2 pok. z halą, 15 min do SKM|3 000 zł|Gdańsk, |Śródmieście, ||44,50 m²|2/4|4|||||Wtórny||||Blok Mieszkalny|Inne|Co Miejskie|30.01.2024|09.04.2024|morizon-PAN489058|136|1|Nie|||||||||||||||
Mieszkanie 2 pokoje Quattro Towers wynajmę|3 200 zł|Gdańsk, |Wrzeszcz, |Bardzo dobry|50 m²|4/17|17|Osobna|Tak|||Wtórny|15.03.2024|Własność||Apartamentowiec|Zróżnicowany|Miejskie|15.03.2024|15.03.2024|morizon-130|90|1|Tak|2012|1|1|Bardzo dobry||Nie|||250 cm|6 m²|||||
Nadmorski apartament z dużym tarasem|6 000 zł|Gdańsk, |Jelitkowo, ||64,30 m²|2/3|3|||||Wtórny||||Apartamentowiec||Co Miejskie|03.03.2024|04.03.2024|morizon-712073|212|1||2013|1||||Tak||2|||||||
Wynajmę 2 pokoje blisko morza|2 700 zł|Gdańsk, |Letnica, ||42 m²|12/17|17|||||Wtórny|01.03.2024|||Apartamentowiec|Pustak|Co Miejskie|04.01.2024|05.04.2024|morizon-PAN321812|257|1|Tak|2022|||||||1|||||40 m²||
2 -pok z osobną kuchnią, obok Garnizonu, garaż|3 000 zł|Gdańsk, |Wrzeszcz, ||45 m²|2/4|4|||||Wtórny||||Blok Mieszkalny|Inne|Co Miejskie|22.01.2024|09.04.2024|morizon-PAN822150|179|1|Tak|||||||||||||||
Nowy apartament w Śródmieściu|4 000 zł|Gdańsk, |Śródmieście, ||52,88 m²|5/8|8|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|19.01.2024|27.03.2024|morizon-PAN643733|234|1|Tak|2022||||||||||||||
Apartament! Od zaraz! Zwierzęta akceptowalne|3 300 zł|Gdańsk, |Śródmieście, ||45,53 m²|1/5|5|||||Wtórny||||Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|26.01.2024|28.03.2024|morizon-PAN280184|189|1|Tak|2018|||||Tak||1|||||||
"NOWE | 2 POKOJE | 40m2 | BALKON"|2 300 zł|Gdańsk, |Łostowice, ||39,54 m²|3/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|YTong|Co Miejskie|14.03.2024|21.03.2024|morizon-PAN107718|203|1|Tak|2017|||||Nie||1|||||||
Wygodny apartament w Śródmieściu Gdańska|3 500 zł|Gdańsk, |Śródmieście, ||46,79 m²|4/4|4|||||Wtórny|01.05.2024|||Blok Mieszkalny||Co Miejskie|16.02.2024|18.03.2024|morizon-972564|271|1||2018|1||||||1|||||||
DOKI - nowe, w pełni wyposażone mieszkanie|4 800 zł|Gdańsk, |Śródmieście, ||57 m²|3/5|5|||||Wtórny|18.01.2024||Na wyłączność|Apartamentowiec||Co Miejskie|28.12.2023|18.03.2024|morizon-223128176|565|1||2023|1|||||||||||||
Wynajmę 2 pokoje Gdańsk|2 000 zł|Gdańsk, |Orunia Górna, ||49,50 m²|2/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|30.01.2024|14.02.2024|morizon-PAN444746|495|1|Tak|1990|||||||1|||||||
Piękne mieszkanie w sercu Gdańska na wynajem|5 000 zł|Gdańsk, |Stare Miasto, ||57,83 m²|2/3|3|||||Wtórny|||Na wyłączność|Kamienica|Cegła|Co Miejskie|05.02.2024|05.02.2024|morizon-PAN683746|143|1|Nie|1953|1|||||||||||||
2 pokoje od zaraz w centrum Gdańska|2 950 zł|Gdańsk, |Śródmieście, ||36,80 m²|2/3|3|||||Wtórny|||Na wyłączność|Kamienica|Cegła|Co Miejskie|31.12.2023|29.02.2024|morizon-PAN415282|262|1|Nie|1960|1|||||||||||||
Kawalerka w Czterech Oceanach|2 900 zł|Gdańsk, |Przymorze, ||36 m²|15/17|17|||||Wtórny|01.04.2024|||Apartamentowiec|Pustak|Co Miejskie|26.02.2024|26.02.2024|morizon-PAN617950|196|1|Tak|2019||||||||||||30 m²||
KAWALERKA - TORUŃSKA W GDAŃSKU|3 000 zł|Gdańsk, |Śródmieście, ||30 m²|1/7|7|||||Wtórny|23.02.2024|||Blok Mieszkalny|Cegła|Co Miejskie|23.02.2024|06.03.2024|morizon-PAN725082|192|1|Nie|2022||||||||||||||
Przytulna kawalerka blisko Śródmieścia|2 150 zł|Gdańsk, |Przeróbka, ||27 m²|1/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|13.02.2024|22.03.2024|morizon-PAN319592|225|1|Nie|||||||||||||||
mieszkanie 2 pokoje Gdańsk Wrzeszcz wynajmę|3 200 zł|Gdańsk, |Wrzeszcz, ||50 m²|5/16|16|Aneks|Tak|||Wtórny|14.12.2023|Własność||Blok|Beton||14.12.2023|15.03.2024|morizon-123|211|1|Nie|2012|1|1|Bardzo dobry||Nie|||250 cm||||||
2 pokoje z miejscem parkingowym! Dostępne od zaraz|2 550 zł|Gdańsk, |Jasień, ||45,98 m²|4/5|5|||||Wtórny|28.10.2023|||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|28.10.2023|21.02.2024|morizon-PAN199753|358|1|Tak|2017|||||Nie|||||||||
Kawalerka - Zajezdnia Wrzeszcz|2 500 zł|Gdańsk, |Wrzeszcz, ||25 m²||7|||||Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|Co Miejskie|29.02.2024|29.02.2024|morizon-PN943485|215|1|Nie|||||||||||||||
LOKAL BIUROWY W CENTRUM WRZESZCZA|4 000 zł|Gdańsk, |Wrzeszcz, ||49,13 m²|1/2|2|||||Wtórny|||Na wyłączność|Kamienica|Cegła|Co Miejskie|12.09.2023|12.09.2023|morizon-PAN452057|343|1|Nie|||||||||||||||
Klimatyczne mieszkanie z ogrodem|5 000 zł|Gdańsk, |Wrzeszcz, ||105 m²||2|||||Wtórny||||Kamienica|Cegła|Co Miejskie|21.07.2023|05.03.2024|morizon-PAN150275|488|1|Nie|||||||||||||||
Lokal na wynajem|5 000 zł|Gdańsk, |Śródmieście, ||50 m²|||||||Wtórny|||Na wyłączność|Kamienica|Cegła|Co Miejskie|19.10.2023|19.10.2023|morizon-PAN437287|269|1|Nie|||||||||||||||
Stylowy apartament w sercu Gdańska|2 600 zł|Gdańsk, |Śródmieście, |BARDZO WYSOKI STANDARD|26 m²|||BEZ OKNA||||Wtórny|02.04.2024|WŁASNOŚĆ||KAMIENICA||C.O. Z SIECI MIEJSKIEJ|28.03.2024|09.04.2024|morizon-295/14016/OMW|88|0||||1||||||||||||
Pieszo dotrzesz wszędzie! 2-pokoje do wynajęcia|2 500 zł|Gdańsk, |Zaspa, ||42 m²|3/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|09.04.2024|09.04.2024|morizon-TY810697|75|0|Tak|1980|1||||||1|||||||
Garnizon- Studio z aneksem sypialnianym + rower|3 150 zł|Gdańsk, |Wrzeszcz, ||39 m²|1/7|7|||||Wtórny|08.04.2024||Na wyłączność|Apartamentowiec||Co Miejskie|08.04.2024|08.04.2024|morizon-DH100290|36|0|Nie|2023|||||Tak||1|||||||
Garnizon 2 pokoje 55 m2 od 24 kwietnia|3 600 zł|Gdańsk M., |Gdańsk, |Wysoki standard|55 m²|8/8|8|Aneks kuchenny - połączony z salonem||PCV 3 szyby, ciepły montaż|5000|Wtórny||||Apartamentowiec|Beton, cegła||08.04.2024|08.04.2024|morizon-M4G-MW-180|39|0|Tak|2019||1|||Tak||2|300 cm|||||580|
Obniżka! Prestiżowa lokalizacja / do wprowadzenia|3 700 zł|Gdańsk, |Śródmieście, |WYSOKI STANDARD|52,06 m²|2/4|4|ANEKS KUCHENNY||||Wtórny|12.04.2024|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|11.04.2024|11.04.2024|morizon-16/8976/OMW|12|0||2015||1||||||||||||
3 pokoje z widokiem na jezioro, hala, taras|4 000 zł|Gdańsk, |Jasień, ||68,21 m²|2/3|3|||||Wtórny|15.04.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|12.04.2024|12.04.2024|morizon-HEX203287|1|0|Tak|2019|||||||2|||||||
"Oliwa OBC | Eleganckie 2 pokoje | widok na zieleń"|4 300 zł|Gdańsk, |Oliwa, ||52,50 m²|3/3|3|||||Wtórny|01.12.2023||Na wyłączność|Apartamentowiec|Cegła|Co Miejskie|08.04.2024|08.04.2024|morizon-WH718875|37|0|Tak|2014|1||||||1|||||||
3 pokoje na osiedlu BROWAR GDAŃSK|5 500 zł|Gdańsk, |Wrzeszcz, ||84 m²|2/5|5|||||Wtórny|||Na wyłączność|Apartamentowiec||Co Miejskie|12.04.2024|12.04.2024|morizon-PH866166|1|0|Tak|2021|||||||2|||||||
Przestronny apartament z widokiem na las|6 700 zł|Gdańsk, |Wrzeszcz, ||98,90 m²|4/4|4|||||Wtórny|||Na wyłączność|Apartamentowiec|YTong|Co Własne|10.04.2024|10.04.2024|morizon-WH122035|32|0|Tak|2018|1||||Tak|||||||89,70 m²||
M1 = K A W A L E R K A z D U Z Y M O G R O D EM|1 899 zł|Gdańsk, |Orunia Górna, ||31,46 m²||2|||||Wtórny|||Na wyłączność|Blok Mieszkalny|YTong|Co Miejskie|04.04.2024|04.04.2024|morizon-872029|74|0|Tak|2002|||||Tak||1|||||||
Super lokalizacja- 2 pokoje- Gdańsk Śródmieście|2 200 zł|Gdańsk, |Śródmieście, ||38 m²|4/10|10|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|09.04.2024|10.04.2024|morizon-TY684011|34|0|Tak|1974||||||||||||||
Bez prowizji mieszkanie 2 pokoje, Gdańsk-Ujeścisko|2 629 zł|Gdańsk, |Mariana Kołodzieja||45,28 m²||3|ANEKS KUCHENNY||||Wtórny||||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ|05.04.2024|08.04.2024|morizon-73/14488/OMW|61|0|Tak|2017||1||||||270 cm||||||
NOWE mieszkanie 3 pokojowe 54m2, Gdańsk Jasień, od zaraz wynajmę|3 300 zł|Gdańsk, |Jasień, |Wysoki standard|54 m²|1/3|3|Aneks|Tak|||Wtórny|17.03.2024|||Blok|Silikat||17.03.2024|24.03.2024|morizon-gratka-33803631|248|0|Tak|2024||||||||||||||
Stylowy apartament z duszą- ul. Mariacka|4 000 zł|Gdańsk, |Śródmieście, ||57 m²|1/4|4|||||Wtórny|||Na wyłączność|Kamienica||Co Miejskie|08.04.2024|08.04.2024|morizon-DH191546|40|0|Nie|1950|||||||2|||||||
Atrakcyjny apartament w inwestycji Brabank|5 000 zł|Gdańsk, |Śródmieście, ||55 m²|5/6|6|||||Wtórny|15.04.2024||Na wyłączność|Apartamentowiec||Co Miejskie|10.04.2024|10.04.2024|morizon-DH791211|20|0|Tak|2015|||||||1|||||||
Mieszkanie na wynajem w świetnej lokalizacji|2 250 zł|Gdańsk, |Morena, ||35 m²||3|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|12.04.2024|12.04.2024|morizon-TY615907|1|0|Tak|2007|||||Tak|||||||||
Mieszkanie 36 m2 z ogródkiem nad morzem w Gdańsku|2 500 zł|Gdańsk, |Jelitkowska|WYSOKI STANDARD|36,50 m²||3|ANEKS KUCHENNY||||Wtórny|01.04.2024|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|MIESZANY|C.O. Z SIECI MIEJSKIEJ|10.04.2024|11.04.2024|morizon-4844/3685/OMW|20|0||||1||||||||||||
Mieszkanie na wynajem Aniołki z ogródkiem|2 900 zł|Gdańsk, |Aniołki, ||44 m²||2|||||Wtórny|01.06.2024||Na wyłączność|Blok Mieszkalny|Cegła|Co Miejskie|27.03.2024|03.04.2024|morizon-DH937949|98|0|Tak|2018|3||||Tak||1|||||||
2 pokoje 55m 2 Gdańsk Centrum|3 500 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|55 m²|1/2|2|Aneks kuchenny - połączony z salonem||PCV 3 szyby, ciepły montaż|5000|Wtórny||||Budynek wielorodzinny|Beton, cegła||18.03.2024|18.03.2024|morizon-M4G-MW-176|146|0|Tak|1970||1|||Tak||2|280 cm|||||700|
z pracy do domu i z domu do pracy = 5 minut|2 500 zł|Gdańsk, |Przymorze, ||30 m²|2/5|5|||||Wtórny|||Na wyłączność|Apartamentowiec||Co Miejskie|12.02.2024|12.02.2024|morizon-TY231929|285|0||2022||||||||||||||
Zostań szczęśliwym Najemcą ! Osiedle Optima|2 600 zł|Gdańsk, |Jasień, ||44 m²|4/4|4|||||Wtórny|01.08.2023||Na wyłączność|Blok Mieszkalny||Co Miejskie|05.04.2024|06.04.2024|morizon-TY715982|46|0|Tak|2020||||||||||||||
Lokal na wynajem Gdańsk Oliwa|2 900 zł|Gdańsk, |Oliwa, ||41 m²||2|||||Wtórny|04.04.2024||Na wyłączność|Dom Wielorodzinny||Co Własne|04.04.2024|12.04.2024|morizon-DH205040|57|0|Nie||||||Tak|||||||||
3 pokojowe mieszkanie w Gdańsku w otulinie drzew|3 000 zł|Gdańsk, |Morena, ||62,40 m²||4|||||Wtórny|15.04.2024||Na wyłączność||||12.04.2024|12.04.2024|morizon-620127|1|0|Tak|1980|||||||2|||||||
Mieszkanie - Gdańsk Śródmieście|3 000 zł|Gdański, |Gdańsk, ||60 m²|12/16|16|Osobna||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|08.04.2024|07.04.2024|morizon-IB07301|111|0|Tak|2022||1|Bardzo dobry||Nie||||7 m²|||||
Ciche mieszkanie blisko Śródmieścia|2 400 zł|Gdańsk, |Długa Grobla||41 m²|3/5|5|||||Wtórny|02.04.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|21.03.2024|02.04.2024|morizon-105855669|201|0|||||||||1|||||||
Bez prowizji! Mieszkanie 3 pokoje, Gdańsk-Wrzeszcz|4 637 zł|Gdańsk, |Jana Kilińskiego||60,14 m²|1/5|5|ANEKS KUCHENNY||||Wtórny||||APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ|05.04.2024|11.04.2024|morizon-72/14488/OMW|42|0||2017||1||||||||||||
Fajnie umeblowane mieszkanie z widokiem|2 300 zł|Gdańsk, |Orunia Górna, |WYSOKI STANDARD|40 m²|3/4|4|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ||NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|09.04.2024|10.04.2024|morizon-53/4070/OMW|40|0||2017||1||||||||||||
Bez prowizji mieszkanie 2 pokoje, Gdańsk-Ujeścisko|2 424 zł|Gdańsk, |Mariana Kołodzieja||39,90 m²|1/3|3|ANEKS KUCHENNY||||Wtórny||||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ|11.04.2024|11.04.2024|morizon-75/14488/OMW|22|0|Tak|2017||1||||||270 cm||||||
Bez prowizji mieszkanie 2 pokoje, Gdańsk-Ujeścisko|2 471 zł|Gdańsk, |Mariana Kołodzieja||41,27 m²|1/3|3|ANEKS KUCHENNY||||Wtórny||||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ|05.04.2024|08.04.2024|morizon-74/14488/OMW|77|0|Tak|2017||1||||||270 cm||||||
Dwa pokoje/Nova Oliwa - wynajem|2 800 zł|Gdańsk, |Przymorze, ||42,39 m²|2/3|3|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|27.03.2024|10.04.2024|morizon-TY496347|162|0|Tak|2010||||||||||||||
NOWE 2-pokojowe mieszkanie GDAŃSK SZCZĘŚLIWA|2 800 zł|Gdańsk, |Jasień, |Wysoki standard|43,68 m²|4/4|4|Aneks|Nie|||Wtórny|20.03.2024|||Blok|Beton||20.03.2024|27.03.2024|morizon-gratka-33861057|189|0|Tak|2023||||||||||||||
Apartament Gdańsk Oliwa|2 900 zł|Gdańsk, |Oliwa, ||43,40 m²|1/2|2|||||Wtórny|27.03.2024||Na wyłączność|Dom Wielorodzinny||Co Własne|27.03.2024|10.04.2024|morizon-DH760214|123|0|Tak||1||||||1|||||||
Nowe mieszkanie w wysokim standardzie - Wrzeszcz|3 200 zł|Gdańsk, |Wrzeszcz, ||41,32 m²|2/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|27.03.2024|05.04.2024|morizon-TY858327|112|0|Tak|2018||||||||||||||
Przestronne, minimalistyczne 3-pokojowe mieszkanie w Garnizonie|4 800 zł|Gdańsk, |Strzyża, |Wysoki standard|57 m²|4/5|5|Aneks|Tak|||Wtórny||||Apartamentowiec|Inny||29.03.2024|08.04.2024|morizon-gratka-34055003|137|0|Tak|2016||||||||||||||
Pokój na Wynajem blisko stacji PKM|1 500 zł|Gdańsk, |Osowa, ||11,50 m²||1|||||Wtórny|09.04.2024||Na wyłączność|Dom Wielorodzinny|YTong|Gazowe|09.04.2024|10.04.2024|morizon-DH330674|52|0|Nie|||||||||||||||
Mieszkanie blisko morza|2 100 zł|Gdańsk, |Stogi, ||38,80 m²|1/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|18.03.2024|18.03.2024|morizon-TY486239|189|0||1970||||||||||||||
Bardzo fajne mieszkanie|2 400 zł|Gdańsk, |Kiełpinek, ||47 m²|1/2|2|||||Wtórny||||Blok Mieszkalny||Co Miejskie|29.03.2024|12.04.2024|morizon-TY128869|85|0|Tak|2005|||||||1|||||||
"Mieszkanie 2 Pokojowe | Balkon | Garaż - Chełm"|2 600 zł|Gdańsk, |Chełm|Bardzo dobry|40 m²|3/3|3|Aneks kuchenny||||Wtórny||Własność|||||11.04.2024|11.04.2024|morizon-23169|16|0||2023||1||||||||||||
2-pokojowe atrakcyjne mieszkanie z balkonem|2 800 zł|Gdańsk, |Chełm, |BARDZO WYSOKI STANDARD|47,50 m²|||ODDZIELNA||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ|26.03.2024|05.04.2024|morizon-48887/2089/OMW|112|0|Tak|||1||||||||||||
2 pokoje z oddzielną kuchnią apartament 50 m2|3 000 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|50 m²|3/5|5|||||Wtórny||||Budynek wielorodzinny|||12.03.2024|12.03.2024|morizon-BHN-MW-4129-5|162|0|Tak|||3|||||2||||||600|
Nowoczesne, 2 pokoje z halą garażową|3 500 zł|Gdańsk, |Aniołki, ||45,09 m²|3/5|5|||||Wtórny|08.04.2024||Na wyłączność|Apartamentowiec||Co Miejskie|05.04.2024|11.04.2024|morizon-339640|35|0|Tak|||||||||||||||
Apartament 2-pokojowy w bliskości Starego Miasta|4 000 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|52 m²|2/6|6|Aneks kuchenny|Tak|||Wtórny||||Apartamentowiec|||06.03.2024|06.03.2024|morizon-BHN-MW-4106|163|0|Tak|2020|||||||1||||||700|
Do wynajęcia 3 pokoje Wałowa Gdańsk Śródmieście|4 800 zł|Gdańsk, |Śródmieście, ||67,40 m²|3/5|5|||||Wtórny|01.05.2024||Na wyłączność|Apartamentowiec|YTong|Co Miejskie|03.04.2024|11.04.2024|morizon-PAN129134|57|0|Tak|2021||||||||||||||
"Mieszkanie 2 Pokojowe | Duży Balkon | Garaż - Jasień | Morelova"|2 000 zł|Gdańsk, |Jasień|Bardzo dobry|45 m²|3/3|3|Aneks kuchenny||||Wtórny||Własność|||||10.04.2024|09.04.2024|morizon-23165|37|0||2023||1||||||||||||
Elegancka kawalerka w Centrum na długi termin|2 500 zł|Gdańsk, |Śródmieście, ||31 m²|5/5|5|||||Wtórny|01.04.2024|||Apartamentowiec||Co Miejskie|21.03.2024|04.04.2024|morizon-DH255321|135|0|Tak|2019|||||||1|||||||
Mieszkanie blisko Galerii Bałtyckiej w GD Wrzeszcz|2 800 zł|Gdańsk, |Wrzeszcz, ||38,80 m²|1/4|4|||||Wtórny||||Apartamentowiec|Konstrukcja mieszana|Co Miejskie|06.04.2024|09.04.2024|morizon-TC314388|48|0||2011|1||||||1|||||||
Piękne Studio 32m2 Gdańsk ul.Hynka 18 od ZARAZ|2 900 zł|Gdańsk M., |Gdańsk, |Wysoki standard|32 m²|3/17|17|Jasna z oknem||PCV 3 szyby, ciepły montaż|3500|Wtórny||||Apartamentowiec|Beton, cegła||10.04.2024|10.04.2024|morizon-M4G-MW-181-1|17|0|Tak|2021||1|||Tak||1|270 cm|||||450|
Zaspa VVita - 2 pokoje z balkonem|3 000 zł|Gdańsk, |Franciszka Hynka||46,41 m²|3/17|17|||||Wtórny|01.03.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|21.02.2024|08.03.2024|morizon-EC326986|250|0|Tak|2022|||||||1|||||||
Piękny apartament pod wynajem Gdańsk Aniołki|5 000 zł|Gdańsk, |Aniołki, ||117,50 m²||4|||||Wtórny|01.03.2024|||Blok Mieszkalny||Co Miejskie|24.03.2024|28.03.2024|morizon-DH228080|126|0|Tak|1995|||||Tak||3|||||||
Piękny apartament kilka metrów od morza|10 500 zł|Gdańsk, |Przymorze, ||90 m²|8/10|10|||||Wtórny||||Apartamentowiec||Co Miejskie|29.03.2024|29.03.2024|morizon-825518|85|0||2023||||||||||||||
"Mieszkanie na wynajem | Gdańsk Aniołki"|2 500 zł|Gdańsk, |Aniołki, ||50 m²|1/3|3|||||Wtórny|07.04.2024|||Blok Mieszkalny|||09.04.2024|09.04.2024|morizon-R-961687|35|0|Tak|1990|1|||||||||||||
Kawalerka Gdańsk Oliwa|2 500 zł|Gdańsk, |Oliwa, ||30 m²||2|||||Wtórny|27.03.2024||Na wyłączność|Blok Mieszkalny||Co Własne|04.04.2024|08.04.2024|morizon-DH426278|60|0|Nie|||||||||||||||
