,Unnamed: 0,Nazwa,Cena,Miasto,Dzielnica_N,Dzielnica_Oryg,Pokoje,Stan nieruchomości,Pow. całkowita,Wysokość wnętrza,Piętro,Liczba pięter,Liczba sypialni,Typ kuchni,łazienka razem z WC,Balkon,Stolarka okienna,Depozyt za wynajem,Dodatkowe koszty,Rynek,Forma własności,Rodzaj umowy,Typ budynku,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Liczba łazienek,Pow. balkonu,Taras,Pow. loggii,Rok budowy,Stan budynku,Ogrzewanie,Dostępne od,Materiał budowlany,Liczba poziomów mieszkania,Pow. łazienki,Pow. tarasu,Pow. ogródka,Pow. użytkowa,Cena do negocjacji,Typ oferty,Inwestycja,Typ nieruchomości,Typ domu,Lokalizacja garażu,Pow. działki
1207,1207,"Trzy pokoje, Gdańsk Wrzeszcz ul. Mickiewicza",720 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 3 pokoje,,"59,10 m²",,5,6,3.0,,,Nie,,,,Wtórny,,Na wyłączność,Kamienica,22.03.2024,25.03.2024,morizon-DH151312,259,0,,,,,1953.0,,Co Miejskie,22.03.2024,Cegła,,,,,,,Sprzedaży,,,,,
1208,1208,Słoneczne 2 lub 3 pokoje | Skomunikowane | Balkon,799 000 zł,Gdańsk,Piecki-Migowo,"Morena, ", • 3 pokoje,DO WYKOŃCZENIA,66 m²,,1,4,,,,,,,,Wtórny,WŁASNOŚĆ,,NISKI BLOK,28.03.2024,02.04.2024,morizon-9159/8976/OMS,114,0,,,,,2006.0,,C.O. Z SIECI MIEJSKIEJ,,,,,,,,,Sprzedaży,,,,,
1209,1209,Żabianka - mieszkanie 4 pokojowe z potencjałem,834 000 zł,Gdańsk,Żabianka,"Żabianka, ", • 4 pokoje,,"66,70 m²",,1,4,,,,Nie,,,,Wtórny,,Na wyłączność,Wieżowiec,16.04.2024,22.04.2024,morizon-DH661023,39,0,,,,,1974.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1210,1210,"Mieszkanie, 5 min do Starego Miasta",847 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,DOBRY,81 m²,300 cm,3,4,,ODDZIELNA,,Tak,,,,Wtórny,WŁASNOŚĆ,Na wyłączność,KAMIENICA,12.04.2024,16.04.2024,morizon-29721/3685/OMS,54,0,2.0,,,,1910.0,,C.O. GAZOWE,11.04.2024,CEGŁA,,,,,,,Sprzedaży,,,,,
1211,1211,PRZESTRONNE 3 POKOJE Z OGRÓDKIEM,849 000 zł,Gdańsk,Piecki-Migowo,Morena, • 3 pokoje,,"63,80 m²",,1,4,2.0,,,Nie,,,,Wtórny,,,Blok Mieszkalny,18.04.2024,22.04.2024,morizon-PAN190109,28,0,,,Tak,,2008.0,,Co Miejskie,,Silikat,,,,,"61,10 m²",,Sprzedaży,,,,,
1212,1212,MIESZKANIE W KAMIENICY Z BARDZO DUŻYM POTENCJAŁEM,850 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 4 pokoje,,"68,59 m²",,3,4,4.0,,,,,,,Wtórny,,Na wyłączność,Kamienica,10.04.2024,09.04.2024,morizon-GH762245,58,0,,,,,1910.0,,Gazowe,,Cegła,1.0,,,,"78,21 m²",,Sprzedaży,,,,,
1213,1213,2 piękne pokoje w centrum miasta,855 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,,"47,10 m²",,3,10,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,19.04.2024,22.04.2024,morizon-PAN536461,40,0,,,Nie,,1965.0,,Co Miejskie,,Cegła,1.0,,,,,,Sprzedaży,,,,,
1214,1214,Opis nieruchomości,875 658 zł,Gdańsk,Oliwa,"Oliwa, ", • 2 pokoje,,"42,45 m²",,1,10,,,,Tak,,,,Wtórny,,,Apartamentowiec,08.04.2024,08.04.2024,morizon-PH661701,36,0,,,,,2024.0,,Co Miejskie,,Pustak,,,,,,,Sprzedaży,,,,,
1215,1215,Wyjątkowe mieszkanie z dużym ogrodem,879 000 zł,Gdańsk,Piecki-Migowo,"Morena, ", • 3 pokoje,,"62,91 m²",,1,5,2.0,,,,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,15.04.2024,16.04.2024,morizon-285185,82,0,,,,,2017.0,,Co Miejskie,,Konstrukcja mieszana,,,,,,,Sprzedaży,,,,,
1216,1216,Unikatowy widok i lokalizacja Centrum Gdańsk,999 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,,"79,10 m²",,1,4,,,,Tak,,,,Wtórny,,,Kamienica,18.04.2024,22.04.2024,morizon-DH115804,30,0,,,,,1902.0,,Co Miejskie,,Cegła,,,,,,,Sprzedaży,,,,,
1217,1217,2 pok. mieszkanie z parkingiem + widok na rzekę,1 020 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,,47 m²,,1,5,1.0,,,Tak,,,,Wtórny,,Na wyłączność,Apartamentowiec,29.03.2024,02.04.2024,morizon-DH283796,99,0,,,,,2016.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1218,1218,Tajemniczy ogród w samym sercu Wrzeszcza,1 097 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz Górny, ", • 4 pokoje,,"84,47 m²",,3,4,3.0,,,,,,,Wtórny,,,Historyczny/zabytkowy,12.04.2024,19.04.2024,morizon-CP1839724,48,0,,,,,1900.0,,Co Miejskie,,Cegła,,,,,,,Sprzedaży,,,,,
1219,1219,Brzeźno apartament 150mkw ogród blisko plaży,1 129 000 zł,Gdańsk,Brzeźno,Brzeźno, • 3 pokoje,,52 m²,,1,10,2.0,,,,,,,Wtórny,,,Apartamentowiec,09.04.2024,09.04.2024,morizon-193866,55,0,,,Tak,,2019.0,,Co Miejskie,01.05.2024,,,,,,,,Sprzedaży,,,,,
1220,1220,4 pokoje | 86 m2 I Magellana | Do wprowadzenia,1 279 000 zł,Gdańsk,Piecki-Migowo,"Piecki-Migowo, ", • 4 pokoje,,"85,94 m²",,1,3,3.0,,,Tak,,,,Wtórny,,,Blok Mieszkalny,10.04.2024,11.04.2024,morizon-00247434,80,0,,,,,2013.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1221,1221,"BEZCZYNSZOWE MIESZKANIE W KAMIENICY, STRZYŻA",1 320 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 4 pokoje,,"91,38 m²",,1,1,,,,,,,,Wtórny,,Na wyłączność,Kamienica,18.04.2024,22.04.2024,morizon-TY770856,50,0,,,Tak,,2002.0,,Gazowe,01.05.2024,,,,,,,,Sprzedaży,,,,,
1222,1222,Luksusowy apartament przy Parku Reagana,1 395 000 zł,Gdańsk,Przymorze,"Przymorze, ", • 2 pokoje,,"43,83 m²",,1,4,1.0,,,,,,,Wtórny,,,Apartamentowiec,09.04.2024,08.04.2024,morizon-285816,35,0,,,,,2022.0,,Co Miejskie,14.04.2024,,,,,,,,Sprzedaży,,,,,
1223,1223,Mieszkanie 4 pokojowe we Wrzeszczu,1 430 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 4 pokoje,,"92,55 m²",,3,3,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,08.03.2024,13.03.2024,morizon-TY517182,203,0,,,,,2012.0,,Co Miejskie,,Cegła,,,,,,,Sprzedaży,,,,,
1224,1224,Gdańsk Śródmieście . 4 pok . 138 m2,1 499 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 4 pokoje,,"138,60 m²",,3,3,3.0,,,Nie,,,,Wtórny,,Na wyłączność,Kamienica,20.04.2024,22.04.2024,morizon-DH995731,26,0,,,,,1935.0,,Co Miejskie,,Cegła,1.0,,,,,,Sprzedaży,,,,,
1225,1225,"100m2 taras z widokiem na zatokę, 10 Piętro",3 400 000 zł,Gdańsk,Brzeźno,"Brzeźno, ", • 4 pokoje,,106 m²,,2,3,,,,,,,,Wtórny,,,Apartamentowiec,15.04.2024,15.04.2024,morizon-WH961997654,31,0,,,Tak,,2019.0,,Co Miejskie,,Inne,1.0,,,,,,Sprzedaży,,,,,
1226,1226,"2 pokoje na 2025 rok, nowoczesny design - Gdańsk",421 500 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 2 pokoje,,"34,29 m²",,1,4,1.0,,,Tak,,,,Pierwotny,,,Blok Mieszkalny,19.04.2024,19.04.2024,morizon-PAN565505,10,0,,,Nie,,2025.0,,Co Miejskie,,Konstrukcja mieszana,1.0,,,,,,Sprzedaży,,,,,
1227,1227,Gdańsk Przymorze| Kawalerka| Blisko morza,438 000 zł,Gdańsk,Żabianka,Tysiąclecia, • 1 pokój,,22 m²,,1,4,,,,,,,,Wtórny,,,Blok Mieszkalny,20.04.2024,22.04.2024,morizon-TH862370,29,0,,,,,,,Co Miejskie,21.04.2024,,,,,,,,Sprzedaży,,,,,
1228,1228,"Mieszkanie, 5 min do Starego Miasta",547 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,DOBRY,42 m²,300 cm,1,2,,ODDZIELNA,,,,,,Wtórny,WŁASNOŚĆ,Na wyłączność,KAMIENICA,12.04.2024,16.04.2024,morizon-29689/3685/OMS,103,0,1.0,,,,1910.0,,C.O. GAZOWE,11.04.2024,CEGŁA,,,,,,,Sprzedaży,,,,,
1229,1229,"3 pokoje na 2025 rok, ogródek - Gdańsk",552 500 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 3 pokoje,,"50,97 m²",,1,3,2.0,,,Tak,,,,Pierwotny,,,Blok Mieszkalny,19.04.2024,19.04.2024,morizon-PAN795743,11,0,,,Nie,,2025.0,,Co Miejskie,,Konstrukcja mieszana,1.0,,,,,,Sprzedaży,,,,,
1230,1230,Atrakcyjne 2 pokoje z balkonem Przymorze Małe,575 000 zł,Gdańsk,Przymorze,"Przymorze, ", • 2 pokoje,,"41,02 m²",,4,7,,Osobna,,Tak,,,,Wtórny,Własność,,,19.04.2024,20.04.2024,morizon-KO07021,29,0,1.0,,Nie,,1979.0,Bardzo dobry,C.o. miejskie,,,,,,,,,Sprzedaży,,,,,
1231,1231,Niski blok! 2-pokojowe na pierwszym piętrze,580 000 zł,Gdańsk,Przymorze,"Przymorze, ", • 2 pokoje,Do remontu,44 m²,,4,5,,Osobna,Tak,Tak,,,,Wtórny,Spółdzielcze-własnościowe,Na wyłączność,Blok,02.04.2024,02.04.2024,morizon-698,206,0,1.0,"2,50 m²",Nie,,1967.0,Bardzo dobry,Miejskie,,Cegła,1.0,,,,,,Sprzedaży,,,,,
1232,1232,"3 pokoje na 2025 rok, nowoczesny design - Gdańsk",581 500 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 3 pokoje,,"59,10 m²",,8,17,2.0,,,Tak,,,,Pierwotny,,,Blok Mieszkalny,19.04.2024,19.04.2024,morizon-PAN427657,15,0,,,Nie,,2025.0,,Co Miejskie,,Konstrukcja mieszana,1.0,,,,,,Sprzedaży,,,,,
1233,1233,Mieszkanie z potencjałem w kameralnej Willi,599 000 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 2 pokoje,,"54,87 m²",,3,6,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,29.03.2024,29.03.2024,morizon-WE611346,82,0,,,Tak,,,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1234,1234,"GDAŃSK, 2 pokoje gotowe do wejścia",605 000 zł,Gdańsk,Osowa,"Osowa, ", • 2 pokoje,,44 m²,,3,4,1.0,,,Tak,,,,Wtórny,,,Blok Mieszkalny,18.04.2024,22.04.2024,morizon-PH177799,30,0,,,,,2016.0,,Co Własne,,Pustak,,,,,,,Sprzedaży,,,,,
1235,1235,Świetna lokalizacja-blisko morza-pod inwestycję,620 000 zł,Gdańsk,Przymorze,"Przymorze, ", • 2 pokoje,,43 m²,,2,3,2.0,,,Tak,,,,Wtórny,,,Blok Mieszkalny,18.04.2024,22.04.2024,morizon-CP873355,54,0,,,,,1975.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1236,1236,ZAMIESZKAJ W 3 POKOJACH NIEOPODAL MORZA,624 900 zł,Gdańsk,Przymorze,"Przymorze, ", • 3 pokoje,,50 m²,,1,4,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,18.04.2024,19.04.2024,morizon-TY746489,47,0,,,,,1965.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1237,1237,Opis nieruchomości,644 880 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 3 pokoje,,"53,74 m²",,2,5,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,19.03.2024,27.03.2024,morizon-PH830850,60,0,,,,,2023.0,,Co Miejskie,,YTong,,,,,,,Sprzedaży,,,,,
1238,1238,Świetnie skomunikowane w wysokim standardzie,649 000 zł,Gdańsk,Jasień,"Kiełpinek, ", • 2 pokoje,,"42,49 m²",,1,3,1.0,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,12.04.2024,20.04.2024,morizon-188949,62,0,,,,,2023.0,,Co Miejskie,,Konstrukcja mieszana,,,,,,,Sprzedaży,,,,,
1239,1239,Opis nieruchomości,691 968 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 4 pokoje,,"65,28 m²",,2,3,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,19.03.2024,27.03.2024,morizon-PH824707,57,0,,,,,2023.0,,Co Miejskie,,YTong,,,,,,,Sprzedaży,,,,,
1240,1240,Opis nieruchomości,724 510 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 4 pokoje,,"68,35 m²",,1,4,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,19.03.2024,27.03.2024,morizon-PH636063,56,0,,,,,2023.0,,Co Miejskie,,YTong,,,,,,,Sprzedaży,,,,,
1241,1241,Opis nieruchomości,731 994 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 4 pokoje,,"64,21 m²",,9,11,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,19.03.2024,27.03.2024,morizon-PH913396,57,0,,,,,2023.0,,Co Miejskie,,YTong,,,,,,,Sprzedaży,,,,,
1242,1242,"Apartament z pięknym widokiem,2 halami i komórkami",749 000 zł,Gdańsk,Orunia,"Orunia Górna, ", • 3 pokoje,,57 m²,,9,10,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,19.04.2024,22.04.2024,morizon-MG538127,10,0,,,,,2021.0,,Co Miejskie,,,1.0,,,,"55,48 m²",,Sprzedaży,,,,,
1243,1243,Mieszkanie 4 pok w centrum w pięknej kamienicy,969 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 4 pokoje,,"87,60 m²",,4,10,,,,Nie,,,,Wtórny,,Na wyłączność,Kamienica,13.04.2024,18.04.2024,morizon-PAN569815,94,0,,,Nie,,1900.0,,Gazowe,,Cegła,,,,,,,Sprzedaży,,,,,
1244,1244,Gdańsk Śródmieście mieszkanie 2 poziomy,998 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,,"42,30 m²",,1,10,1.0,,,Tak,,,,Wtórny,,,Blok Mieszkalny,05.04.2024,13.04.2024,morizon-DH762031,44,0,,,,,1960.0,,Co Miejskie,08.04.2024,Cegła,2.0,,,,,,Sprzedaży,,,,,
1245,1245,Apartament inwestycyjny w prestiżowej lokalizacji,1 000 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,,"49,04 m²",,2,3,,,,Tak,,,,Wtórny,,Na wyłączność,Apartamentowiec,13.04.2024,21.04.2024,morizon-PAN406570,45,0,,,Nie,,2023.0,,Co Miejskie,,Pustak,,,,,,,Sprzedaży,,,,,
1246,1246,Luksusowa nieruchomość w malowniczej okolicy,1 149 000 zł,Gdańsk,Piecki-Migowo,"Morena, ", • 4 pokoje,,110 m²,,1,5,3.0,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,12.04.2024,20.04.2024,morizon-436395,176,0,,,Tak,,2009.0,,Co Miejskie,,Konstrukcja mieszana,,,,,"90,92 m²",,Sprzedaży,,,,,
1247,1247,| Świetna lokalizacja | dobra cena |,1 160 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 3 pokoje,Do odnowienia,70 m²,270 cm,3,4,,,,Tak,,,,Wtórny,Własność,Na wyłączność,Apartamentowiec,16.04.2024,22.04.2024,morizon-SOZI269,35,0,,,,,2010.0,,Ogrzewanie miejskie,,Mieszana,,,,,,,Sprzedaży,,,,,
1248,1248,Kameralna Inwestycja - Zamieszkaj lub zainwestuj,1 207 605 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,"65,72 m²",,1,1,2.0,,,Tak,,,,Pierwotny,,,Apartamentowiec,01.04.2024,09.04.2024,morizon-EC658191,42,0,,,,,2024.0,,,,,,,,,,,Sprzedaży,,,,,
1249,1249,"Apartament z widokiem na jezioro \""Przystań Jasień\""",1 329 000 zł,Gdańsk,Jasień,"Jasień, ", • 4 pokoje,,"94,73 m²",,1,6,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,15.04.2024,18.04.2024,morizon-ON273070,48,0,,,,,2023.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1250,1250,Komfortowy apartament - Zamieszkaj lub zainwestuj,1 340 042 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,"67,17 m²",,1,4,2.0,,,Tak,,,,Pierwotny,,,Apartamentowiec,01.04.2024,01.04.2024,morizon-EC275058,57,0,,,,,2024.0,,,,,,,,,,,Sprzedaży,,,,,
1251,1251,Słoneczne 3 pokoje w najnowszym etapie Garnizonu,1 415 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 3 pokoje,,"64,40 m²",,1,4,2.0,,,Tak,,,,Wtórny,,Na wyłączność,Apartamentowiec,03.04.2024,09.04.2024,morizon-DH690870,73,0,,,,,2023.0,,Co Miejskie,30.06.2024,,,,,,,,Sprzedaży,,,,,
1252,1252,"3-pok, garderoba, 2 miejsca w hali, piwnica- Zaspa",1 438 000 zł,Gdańsk,Zaspa,"Zaspa, ", • 3 pokoje,WYSOKI STANDARD,"73,94 m²",,3,3,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,10.04.2024,19.04.2024,morizon-23064/2089/OMS,65,0,1.0,,,,2018.0,,C.O. Z SIECI MIEJSKIEJ,01.08.2024,,,,,,,,Sprzedaży,,,,,
1253,1253,Opis nieruchomości,1 613 869 zł,Gdańsk,Oliwa,"Oliwa, ", • 3 pokoje,,"80,34 m²",,1,5,,,,Tak,,,,Wtórny,,,Apartamentowiec,08.04.2024,08.04.2024,morizon-PH870961,40,0,,,,,2024.0,,Co Miejskie,,Pustak,,,,,,,Sprzedaży,,,,,
1254,1254,Komfortowy Apartament - Prestiżowy Adres,2 048 189 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 4 pokoje,,"106,10 m²",,3,4,3.0,,,,,,,Wtórny,,,Apartamentowiec,29.03.2024,06.04.2024,morizon-EC882681,156,0,,,,,2021.0,,Co Miejskie,,,1.0,,,,,,Sprzedaży,,,,,
1255,1255,Apartament Gdańsk Brabank z frontowym widokiem na Motławę,3 200 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,88 m²,,3,7,,,Tak,,,,,Wtórny,Własność,,Apartamentowiec,09.04.2024,16.04.2024,morizon-gratka-34228297,225,0,,,Tak,,2021.0,,,14.04.2024,,,,,,,,Sprzedaży,,,,,
1256,1256,Stylowe dwa pokoje w doskonałej lokalizacji,499 000 zł,Gdańsk,,, • 2 pokoje,,"31,30 m²",,7,8,,,,,,,,Wtórny,,,Blok Mieszkalny,12.04.2024,12.04.2024,morizon-R-756428,90,0,,,,,2016.0,,,30.04.2024,,1.0,,,,,,Sprzedaży,,,,,
1257,1257,Przymorze 2 pokoje 38m2 do zamieszkania FALOWIEC,515 000 zł,Gdańsk,Przymorze,"Przymorze, ", • 2 pokoje,Do odświeżenia,38 m²,258 cm,1,5,,Osobna,Tak,Tak,,,,Wtórny,Własność,,Falowiec,11.04.2024,17.04.2024,morizon-877792,116,0,1.0,"2,50 m²",,,1970.0,Dobry,Co Miejskie,12.04.2024,Wielka płyta,1.0,,,,,,Sprzedaży,,,,,
1258,1258,Atrakcyjna oferta! Pozostaje całe wyposażenie,527 000 zł,Gdańsk,Jasień,"Jasień, ", • 1 pokój,,"37,87 m²",,2,3,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,08.04.2024,08.04.2024,morizon-DH973178,44,0,,,,,2014.0,,Co Miejskie,07.04.2024,,,,,,,,Sprzedaży,,,,,
1259,1259,2 pokoje-gotowe do wprowadzenia-spokojna okolica,550 000 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,,44 m²,,17,17,1.0,,,Tak,,,,Wtórny,,,Blok Mieszkalny,10.04.2024,17.04.2024,morizon-CP990895,84,0,,,,,2016.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1260,1260,Wysoki standard w przystępnej cenie,574 000 zł,Gdańsk,Kokoszki,"Kokoszki, ", • 2 pokoje,,"47,90 m²",,1,4,2.0,,,,,,,Wtórny,,,Blok Mieszkalny,04.04.2024,04.04.2024,morizon-WE962437,78,0,,,,,2023.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1261,1261,Mieszkanie - Gdańsk Przymorze,575 000 zł,Gdańsk,Przymorze,"Przymorze, ", • 2 pokoje,,"41,02 m²",,1,4,,Osobna,,Tak,,,,Wtórny,Własność,,,20.04.2024,19.04.2024,morizon-PU0247,33,0,1.0,,Nie,,1979.0,Dobry,C.o. miejskie,,,,,,,,,Sprzedaży,,,,,
1262,1262,3 pokoje gotowe do odbioru od zaraz - Gdańsk,590 000 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 3 pokoje,,"58,09 m²",,1,3,2.0,,,Tak,,,,Pierwotny,,,Blok Mieszkalny,18.04.2024,19.04.2024,morizon-PAN559852,15,0,,,Nie,,2024.0,,Co Miejskie,,Konstrukcja mieszana,1.0,,,,,,Sprzedaży,,,,,
1263,1263,Gotowe do odbioru! Ustawne i jasne,591 000 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 3 pokoje,DO WYKOŃCZENIA,"56,66 m²",,1,3,,,,,,,,Pierwotny,WŁASNOŚĆ,,NISKI BLOK,01.03.2024,01.03.2024,morizon-9040/8976/OMS,78,0,,,,,2023.0,,,,,,,,,,,Sprzedaży,,,,,
1264,1264,Spółdzielczo własnościowe. 3 pokoje dla rodziny,600 000 zł,Gdańsk,Suchanino,"Suchanino, ", • 3 pokoje,,"52,78 m²",,1,3,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,25.02.2024,07.03.2024,morizon-TY462676,207,0,,,,,1978.0,,Co Miejskie,,Wielka płyta,,,,,,,Sprzedaży,,,,,
1265,1265,Komfortowa nieruchomość w centralnej dzielnicy,665 000 zł,Gdańsk,Piecki-Migowo,"Morena, ", • 2 pokoje,,46 m²,,1,2,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,30.03.2024,09.04.2024,morizon-357827,120,0,,,,,2010.0,,Co Miejskie,,Inne,,,,,,,Sprzedaży,,,,,
1266,1266,Ustawne 2 pokojowe mieszkanie na Morenie,689 000 zł,Gdańsk,Piecki-Migowo,"Morena, ", • 2 pokoje,,"42,10 m²",,3,10,,,,Tak,,,,Wtórny,,,Blok Mieszkalny,18.04.2024,20.04.2024,morizon-MG203719,17,0,,,,,2015.0,,Co Miejskie,,,1.0,,,,,,Sprzedaży,,,,,
1267,1267,"Gdańsk-Kokoszki, 3 pokoje + antresola i ogródek",702 500 zł,Gdańsk,Kokoszki,"Kokoszki, ", • 3 pokoje,,"88,67 m²",,1,3,1.0,,,Tak,,,,Wtórny,,,Blok Mieszkalny,10.04.2024,10.04.2024,morizon-148452,68,0,,,,,2024.0,,Gazowe,,,2.0,,,,,,Sprzedaży,,,,,
1268,1268,Mieszkanie 4 pokojowe I Wyjątkowa architektura,702 500 zł,Gdańsk,Kokoszki,"Kokoszki, ", • 4 pokoje,Do wykończenia,"88,72 m²",,2,4,,Aneks,Tak,Tak,,,,Pierwotny,Własność,,Szeregowy,10.04.2024,20.04.2024,morizon-00133202,48,0,,,,,2024.0,Bardzo dobry,Co Miejskie,30.04.2024,Pustak,,,,,,,Sprzedaży,,,,,
1269,1269,Słoneczne mieszkanie z antresolą ponad 80 m2,799 000 zł,Gdańsk,Chełm,Hokejowa, • 3 pokoje,BARDZO WYSOKI STANDARD,80 m²,,1,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,WŁASNOŚĆ,,NISKI BLOK,11.04.2024,22.04.2024,morizon-29730/3685/OMS,84,0,1.0,,,,2015.0,,C.O. Z SIECI MIEJSKIEJ,13.04.2024,YTONG,,,,,,,Sprzedaży,,,,,
1270,1270,"2 pokoje + kawalerka, DWUPAK w sercu Wrzeszcza",849 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 3 pokoje,,"66,10 m²",,2,4,,,,,,,,Wtórny,,Na wyłączność,Kamienica,26.03.2024,27.03.2024,morizon-TY846468,271,0,,,,,1900.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1271,1271,Nowe i Gotowe do zamieszkania | 3 pok. | Wysoki Standard | Gdańsk Kokoszki,855 000 zł,Gdańsk,Kokoszki,"Kokoszki, ", • 3 pokoje,Wysoki standard,"57,26 m²",,1,3,,Aneks,Nie,,,,,Wtórny,Własność,,Blok,04.04.2024,04.04.2024,morizon-gratka-34174417,50,0,,,,,2023.0,,,04.04.2024,,,,,,,,Sprzedaży,,,,,
1272,1272,Ścisłe centrum nad Motławą! W pełni Nowe wyposaż,859 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 1 pokój,,31 m²,,2,3,,,,,,,,Wtórny,,,Apartamentowiec,11.04.2024,11.04.2024,morizon-139750,51,0,,,,,2022.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1273,1273,Słoneczne dwa poziomy-z możliwością podziału,869 000 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 4 pokoje,DOBRY,"90,50 m²",,1,4,,ODDZIELNA,,,,,,Wtórny,WŁASNOŚĆ,Na wyłączność,KAMIENICA,18.04.2024,18.04.2024,morizon-16018/9376/OMS,43,0,,,,,1930.0,,C.O. GAZOWE,,CEGŁA,,,,,,,Sprzedaży,,,,,
1274,1274,Inwestycja Nowa Letnica 2024,1 160 000 zł,Gdańsk,Letnica,"Letnica, ", • 3 pokoje,,"64,77 m²",,2,4,2.0,,,,,,,Wtórny,,,,20.04.2024,20.04.2024,morizon-352465,36,0,,,,,2024.0,,,,,,,,,,,Sprzedaży,,,,,
1275,1275,Podzielone mieszkanie inwestycyjne przy Motławie,1 163 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,"58,15 m²",,2,3,,,,Tak,,,,Wtórny,,Na wyłączność,Apartamentowiec,19.04.2024,19.04.2024,morizon-DH830481,21,0,,,,,2018.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
1276,1276,Kup i zarabiaj- wyposażony gotowiec inwestycyjny,1 202 400 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,"60,12 m²",,1,4,,,,Tak,,,,Wtórny,,Na wyłączność,Apartamentowiec,19.04.2024,19.04.2024,morizon-DH844854,20,0,,,,,2018.0,,Co Miejskie,,,,,,,,,Sprzedaży,,,,,
