Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Rynek,Rok budowy,Piętro,Liczba pięter,Balkon,Typ oferty,Cena/m2
1008122.0,Gdynia ,Chwarzno-Wiczlino, 4,93.81,Pierwotny,2023,3.0,4.0,Tak,Najmu,10746.42
1049000.0,Gdynia ,Redłowo, 3,77.64,Wtórny,1950,1,3.0,Nie,Najmu,13511.08
1063262.0,Gdynia ,Chwarzno-Wiczlino, 5,94.99,Pierwotny,2023,3.0,3.0,Tak,Najmu,11193.41
1135000.0,Gdynia ,Wielki Kack, 3,74.9,Wtórny,2003,1.0,2.0,Tak,Najmu,15153.54
1340000.0,Gdynia ,Śródmieście, 2,41.0,Wtórny,2022,14.0,17.0,Nie,Najmu,32682.93
1419478.0,Gdynia ,Redłowo, 3,85.07,Pierwotny,2024,5.0,6.0,Tak,Najmu,16686.0
1495000.0,Gdynia ,Wielki Kack, 3,105.0,Wtórny,2017,2.0,2.0,Tak,Najmu,14238.1
1500000.0,Gdynia ,Śródmieście, 2,52.0,Wtórny,2022,13.0,17.0,Nie,Najmu,28846.15
1670000.0,Gdynia ,Orłowo, 2,58.0,Wtórny,2017,1,2.0,Tak,Najmu,28793.1
4990000.0,Gdynia ,Orłowo, 5,160.0,Wtórny,2011,1.0,2.0,Tak,Najmu,31187.5
520000.0,Gdynia ,Redłowo, 2,31.51,Wtórny,1968,4.0,4.0,Nie,Najmu,16502.7
566000.0,Gdynia ,Chwarzno-Wiczlino, 2,47.21,Wtórny,.,1,3.0,Nie,Najmu,11988.99
650000.0,Gdynia ,Mały Kack, 3,73.5,Wtórny,1995,1.0,2.0,Tak,Najmu,8843.54
695000.0,Gdynia ,Działki Leśne, 2,47.0,Pierwotny,2022,1,3.0,Tak,Najmu,14787.23
695000.0,Gdynia ,Dąbrowa, 3,67.5,Wtórny,2003,1.0,3.0,Tak,Najmu,10296.3
699000.0,Gdynia ,Działki Leśne, 2,47.88,Wtórny,1960,3.0,9.0,Tak,Najmu,14599.0
