Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Liczba pięter|Typ kuchni|Liczba łazienek|Rynek|Forma własności|Typ budynku|Materiał budowlany|Rok budowy|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Pow. użytkowa|Piętro|Liczba poziomów mieszkania|Dostępne od|Rodzaj umowy|Liczba sypialni|łazienka razem z WC|Balkon|Taras|Stan budynku|Pow. łazienki|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Stolarka okienna|Dodatkowe koszty|Pow. loggii|Typ domu|Urządzony ogród|Typ nieruchomości|Pow. ogródka
Sopot- 2 pokoje spacerem do plaży|1 380 000 zł|Sopot, |Dolny, | • 2 pokoje||52,50 m²||2|||Wtórny||Apartamentowiec|Silikat|2010|Co Miejskie|08.04.2024|17.04.2024|morizon-WH417774|83|0|51,50 m²||1|01.04.2024||1|||Tak||||||||||||
Wyjątkowy apartament w Sopocie|1 995 000 zł|Sopot, |Armii Krajowej| • 3 pokoje||69,50 m²||3|||Wtórny||Apartamentowiec|||Co Miejskie|03.04.2024|03.04.2024|morizon-984239|62|0||2/3||||||Tak|||||||||||||
Inwestycyjne mieszkanie w Sopocie 200m od plaży|780 000 zł|Sopot, |Dolny, | • 2 pokoje||29,59 m²||2|||Wtórny||Kamienica|Cegła|1904|Gazowe|04.04.2024|10.04.2024|morizon-AG468958|115|0||1/2|||||||||||||||||||
Świetna inwestycja - mieszkanie na Monciaku|849 000 zł|Sopot, |Dolny, | • 2 pokoje||44,20 m²||1|||Wtórny||Kamienica|||Gazowe|11.04.2024|11.04.2024|morizon-NN387787|71|0||1/1|||Na wyłączność||||||||||||||||
Sopot - Apartament z widokiem na morze|1 821 601 zł|Sopot, |Smolna| • 3 pokoje||69,20 m²||3|||Pierwotny||Apartamentowiec||2023|Co Miejskie|28.01.2024|14.02.2024|morizon-EC578719|154|0|||1|||2||Tak|||||||||||||
"MIeszkanie 2-pok | Kamienny Potok | Widok na las"|559 000 zł|Sopot, |Kamienny Potok, | • 2 pokoje|WYSOKI STANDARD|35 m²||10|ODDZIELNA|1|Wtórny|SPÓŁDZIELCZE WŁASNOŚCIOWE|WIEŻOWIEC||1970|C.O. Z SIECI MIEJSKIEJ|15.04.2024|15.04.2024|morizon-25462/7649/OMS|58|0||6/10||15.04.2024||||Tak|||||||||||||
Idealne pod inwestycję, mieszkanie dla pary-gotowe|799 000 zł|Sopot, |Kamienny Potok, | • 2 pokoje||48,50 m²||3|||Wtórny||Blok Mieszkalny||1980|Co Miejskie|16.04.2024|16.04.2024|morizon-CP898490|46|0||3/3||||1||Tak|||||||||||||
KAMIENICA Z WINDĄ|1 090 000 zł|Sopot, |Dolny, | • 3 pokoje||56,83 m²||4|||Wtórny||Kamienica|Cegła|1905|Elektryczne|12.04.2024|16.04.2024|morizon-PAN212048|97|0||1/4||||||Tak|Nie||||||||||||
Polna , Sopot apartament|2 400 000 zł|Sopot, |Dolny, | • 3 pokoje|Bardzo dobry|76,50 m²|300 cm|3|Aneks|1|Wtórny|Własność|Apartamentowiec|Cegła|2015||09.04.2024|18.04.2024|morizon-152|165|0|||1||Na wyłączność||Tak|Tak|Tak|Bardzo dobry|9 m²|9 m²|Tak|12 m²|||||||
Apartament z werandą i parkingiem, przy plaży|2 700 000 zł|Sopot, |Dolny, | • 3 pokoje||93,30 m²|||||Wtórny||Kamienica|Cegła|1925|Gazowe|25.03.2024|30.03.2024|morizon-EC513205|221|0|||1||Na wyłączność|2||Tak|||||||||||||
