Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji
Granaria- 4 pokojowy apartament z sauną|14 000 zł|Gdańsk, |Śródmieście, | • 4 pokoje||102 m²||7/7|7|3|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|18.01.2024|18.04.2024|morizon-EC259824|137|1|||||2019||Co Miejskie|19.01.2024|Silikat||||||
Nowe, w pełni wyposażone, blisko stacji PKM|2 700 zł|Gdańsk, |Kiełpinek, | • 2 pokoje||40,26 m²||2/4|4||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|13.03.2024|13.04.2024|morizon-PAN296593|210|1|||||||Co Miejskie||Konstrukcja mieszana||||||
Mieszkanie (65 m 2) trzypokojowe z ogródkiem 90 m|3 900 zł|Gdańsk, |Orunia Górna-Gdańsk Południe, | • 3 pokoje|Bardzo dobry|65 m²|300 cm||4||Aneks|Tak|Nie||||Wtórny|Własność|Na wyłączność|Dom wielorodzinny|13.03.2024|05.04.2024|morizon-374392|277|1|1||Tak||2012|Bardzo dobry|Miejskie||Pustak|1||30 m²|90 m²||
Premium/ Wyjątkowa oferta ul. Piwna w Gdańsku|4 500 zł|Gdańsk, |Stare Miasto, | • 2 pokoje||35 m²||1/4|4||||Nie||||Wtórny||Na wyłączność|Kamienica|02.04.2024|09.04.2024|morizon-PAN350908|128|1|||||||Elektryczne||Cegła||||||
2 pokoje od zaraz w centrum Gdańska|2 800 zł|Gdańsk, |Śródmieście, | • 2 pokoje||36,80 m²||2/3|3||||Nie||||Wtórny||Na wyłączność|Kamienica|31.12.2023|15.04.2024|morizon-PAN415282|324|1|||||1960||Co Miejskie||Cegła|1|||||
Wygodny apartament w Śródmieściu Gdańska|3 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje||46,79 m²||4/4|4|1|||||||Wtórny|||Blok Mieszkalny|16.02.2024|19.04.2024|morizon-972564|341|1|||||2018||Co Miejskie|01.05.2024||1|||||
Komfortowe mieszkanie (52 m 2) znajdujące si|4 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||52 m²||2/6|6|1|||||||Wtórny||||18.03.2024|12.04.2024|morizon-657056|227|1|||||2021|||12.04.2024||1|||||
Apartament z widokiem w centrum Gdańska|7 500 zł|Gdańsk, |Śródmieście, | • 3 pokoje||76,40 m²||4/5|5|2|||||||Wtórny|||Apartamentowiec|01.03.2024|04.03.2024|morizon-462236|230|1|||||2020||Co Miejskie|||1|||||
Widokowy apartament w inwestycji Granaria|7 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||59 m²||5/7|7|1|||Tak||||Wtórny||Na wyłączność||04.02.2024|12.04.2024|morizon-EC590567|145|1|||||2019||||||||||
Przytulna kawalerka blisko Śródmieścia|2 150 zł|Gdańsk, |Przeróbka, | • 1 pokój||27 m²||1/4|4||||Nie||||Wtórny||Na wyłączność|Blok Mieszkalny|13.02.2024|22.03.2024|morizon-PAN319592|286|1|||||||Co Miejskie||Wielka płyta||||||
Kawalerka - Zajezdnia Wrzeszcz|2 500 zł|Gdańsk, |Wrzeszcz, | • 1 pokój||25 m²|||7||||Nie||||Wtórny||Na wyłączność|Apartamentowiec|29.02.2024|29.02.2024|morizon-PN943485|295|1|||||||Co Miejskie||Konstrukcja mieszana||||||
Ogród 140 m2-wysoki standard-miejsce, komórka|2 600 zł|Gdańsk, |Jasień, | • 2 pokoje||51,48 m²|||3|1|||||||Wtórny||Na wyłączność|Blok Mieszkalny|22.04.2024|22.04.2024|morizon-CP113057|1|0|||Tak||2021||Co Miejskie|01.05.2024|||||||
Najem długoterminowy! Nowe, umeblowane mieszkanie|2 800 zł|Gdańsk, |Jasień, | • 2 pokoje||40 m²||1/7|7||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|15.04.2024|15.04.2024|morizon-DH864929|71|0|||||2022||Co Miejskie|15.04.2024||1|||||
2 pok. w zrewitalizowanej kamienicy z windą|3 250 zł|Gdańsk, |Śródmieście, | • 2 pokoje||36 m²||4/4|4|1|||Nie||||Wtórny|||Apartamentowiec|19.04.2024|19.04.2024|morizon-DH707761|30|0|||||2021||Co Miejskie|30.04.2024|Cegła||||||
"Świeżo wykończone | miejsce postojowe oraz komórka"|3 300 zł|Gdańsk, |Myśliwska| • 2 pokoje||38 m²||3/4|4|1|||Tak||||Wtórny|||Blok Mieszkalny|22.04.2024|22.04.2024|morizon-FPO691223|1|0|||||2024||Co Miejskie||||||||
Mieszkanie na wynajem Gdańsk Wrzeszcz Garnizon|3 500 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||44,58 m²||2/5|5|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.04.2024|18.04.2024|morizon-WH936842|59|0|||||2021||Co Miejskie|15.06.2023|Cegła||||||
Garnizon - nowe 2 pokoje z garderobą i halą|3 500 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||49,70 m²||4/6|6|1|||||||Wtórny||Na wyłączność|Apartamentowiec|18.04.2024|18.04.2024|morizon-HEX925996|44|0|||||2022||Co Miejskie|01.06.2024|||||||
Gdańskie serce – Twoje nowe miejsce|3 800 zł|Gdańsk, |Szeroka| • 2 pokoje||45,40 m²||1/3|3|1|||||||Wtórny||Na wyłączność|Apartamentowiec|16.04.2024|16.04.2024|morizon-EC490027|59|0|||||2012||Co Miejskie|16.04.2024|||||||
Zajezdnia Wrzeszcz 3 pokoje - blisko morza|4 200 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje||77,55 m²||5/12|12|2|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.04.2024|18.04.2024|morizon-WH441601|55|0|||||2020||Co Miejskie|01.05.2024|Inne|1||||75,54 m²|
"Oliwa OBC | Eleganckie 2 pokoje | widok na zieleń"|4 300 zł|Gdańsk, |Oliwa, | • 2 pokoje||52,50 m²||3/3|3|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|08.04.2024|08.04.2024|morizon-WH718875|120|0|||||2014||Co Miejskie|01.12.2023|Cegła|1|||||
Brabank - apartament z widokiem na rzekę|5 000 zł|Gdańsk, |Stara Stocznia| • 2 pokoje||49,76 m²||2/6|6|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|17.04.2024|17.04.2024|morizon-EC198703|37|0|||||2018||Co Miejskie|01.05.2024|||||||
3 pokoje, taras, Motława,|9 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje||80 m²||8/8|8||||||9000.00||Wtórny||Na wyłączność||17.04.2024|18.04.2024|morizon-430777|24|0|1||Tak||2022||Co miejskie|15.05.2024||1||30 m²|||
"Rezydencja Jaśkowa | 2 pokojowy apartament"|3 000 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|WYSOKI STANDARD|59,30 m²|260 cm||2||||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|17.04.2024|18.04.2024|morizon-49026/2089/OMW|54|0|||||2006||C.O. WŁASNE||||||||
3 pokoje z widokiem na jezioro, hala, taras|3 800 zł|Gdańsk, |Jasień, | • 3 pokoje||68,21 m²||2/3|3|2|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|12.04.2024|19.04.2024|morizon-HEX203287|104|0|||||2019||Co Miejskie|15.04.2024|||||||
Atrakcyjny apartament w inwestycji Brabank|5 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||55 m²||5/6|6|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|10.04.2024|10.04.2024|morizon-DH791211|102|0|||||2015||Co Miejskie|15.04.2024|||||||
3 pokoje na osiedlu BROWAR GDAŃSK|5 500 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje||84 m²||2/5|5|2|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|12.04.2024|18.04.2024|morizon-PH866166|104|0|||||2021||Co Miejskie||||||||
Przestronny apartament z widokiem na las|6 700 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje||98,90 m²||4/4|4||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|10.04.2024|13.04.2024|morizon-WH122035|137|0|||Tak||2018||Co Własne||YTong|1||||89,70 m²|
Mieszkanie na wynajem w świetnej lokalizacji|2 250 zł|Gdańsk, |Morena, | • 1 pokój||35 m²|||3||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|12.04.2024|12.04.2024|morizon-TY615907|121|0|||Tak||2007||Co Miejskie||||||||
2 pokoje 55m 2 Gdańsk Centrum|3 500 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|55 m²|280 cm|1/2|2|2|Aneks kuchenny - połączony z salonem||Tak|PCV 3 szyby, ciepły montaż|5000|700|Wtórny|||Budynek wielorodzinny|18.03.2024|18.03.2024|morizon-M4G-MW-176|203|0|1||Tak||1970||||Beton, cegła||||||
Wygodne 2-pok. mieszkanie z osobną kuchnią, balkon|2 400 zł|Gdańsk, |Chełm, | • 2 pokoje|WYSOKI STANDARD|53,48 m²||2/3|3||ODDZIELNA||Tak||||Wtórny||Na wyłączność|NISKI BLOK|13.04.2024|13.04.2024|morizon-48916/2089/OMW|135|0|1||||2005||C.O. Z SIECI MIEJSKIEJ|15.04.2024|||||||
z pracy do domu i z domu do pracy = 5 minut|2 500 zł|Gdańsk, |Przymorze, | • 1 pokój||30 m²||2/5|5||||||||Wtórny||Na wyłączność|Apartamentowiec|12.02.2024|12.02.2024|morizon-TY231929|319|0|||||2022||Co Miejskie||||||||
Apartament typu studio 42m2 Centrum Gdańska|2 800 zł|Gdańsk, |Śródmieście, | • 1 pokój||42 m²||5/5|5||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|17.04.2024|17.04.2024|morizon-DH460893|53|0|||||||Co Miejskie|17.04.2024|||||||
Lokal na wynajem Gdańsk Oliwa|2 900 zł|Gdańsk, |Oliwa, | • 2 pokoje||41 m²|||2||||Nie||||Wtórny||Na wyłączność|Dom Wielorodzinny|04.04.2024|12.04.2024|morizon-DH205040|142|0|||Tak||||Co Własne|04.04.2024|||||||
"Nowe wykończone 2 pokoje | Perspektywa Eurostyl"|3 100 zł|Gdańsk, |Śródmieście, | • 2 pokoje||46 m²||1/4|4|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|22.04.2024|22.04.2024|morizon-TC922396|1|0|||||2022||Co Miejskie|05.09.2023|Konstrukcja mieszana||||||
Prestiżowa lokalizacja / do wprowadzenia|3 700 zł|Gdańsk, |Śródmieście, | • 3 pokoje|WYSOKI STANDARD|52,06 m²||2/4|4||ANEKS KUCHENNY||||||Wtórny|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|11.04.2024|22.04.2024|morizon-16/8976/OMW|49|0|1||||2015||C.O. Z SIECI MIEJSKIEJ|12.04.2024|||||||
Nowe 2 pokojowe do wynajęcia, pierwszy najemca|2 200 zł|Gdańsk, |Chełm, | • 2 pokoje|BARDZO WYSOKI STANDARD|32,37 m²|280 cm|1/4|4||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|16.04.2024|18.04.2024|morizon-48810/2089/OMW|73|0|1||||2024||C.O. Z SIECI MIEJSKIEJ|01.04.2024|||||||
Nowe, 2 pokojowe do wynajęcia, pierwszy najemca|2 200 zł|Gdańsk, |Chełm, | • 2 pokoje|BARDZO WYSOKI STANDARD|32,37 m²|280 cm||||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|16.04.2024|18.04.2024|morizon-48809/2089/OMW|87|0|1||||2024||C.O. Z SIECI MIEJSKIEJ|01.04.2024|||||||
2 pokoje, dla pracujących i studentów, bezpiecznie wynajmij na cały rok|2 300 zł|Gdańsk, |Oliwa| • 2 pokoje|Dobry|50 m²|300 cm||2||Osobna|Tak|Nie||||Wtórny|Własność|Na wyłączność|Kamienica|22.04.2024|22.04.2024|morizon-2024/GD/KK/WYN/4|1|0|1||Nie||1930|Dobry|Gazowe|22.04.2024|Cegła|1|4 m²||||Tak
Ciche mieszkanie blisko Śródmieścia|2 400 zł|Gdańsk, |Długa Grobla| • 2 pokoje||41 m²||3/5|5|1|||||||Wtórny||Na wyłączność|Blok Mieszkalny|21.03.2024|02.04.2024|morizon-105855669|280|0|||||||Co Miejskie|02.04.2024|||||||
Słoneczne mieszkanie na Zaspie|2 500 zł|Gdańsk, |Zaspa, | • 2 pokoje||42 m²||3/4|4|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|09.04.2024|22.04.2024|morizon-TY810697|270|0|||||1980||Co Miejskie||Wielka płyta|1|||||
"Gdańsk Oliwa | Harmonia Oliwska"|3 400 zł|Gdańsk, |Oliwa, | • 2 pokoje||54 m²||2/4|4||||||||Wtórny|||Apartamentowiec|15.04.2024|17.04.2024|morizon-506446|77|0|||||2018||Co Miejskie|22.04.2024||1|||||
Stylowy apartament z duszą- ul. Mariacka|4 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje||57 m²||1/4|4|2|||Nie||||Wtórny||Na wyłączność|Kamienica|08.04.2024|18.04.2024|morizon-DH191546|129|0|||||1950||Co Miejskie||||||||
Fajnie umeblowane mieszkanie z widokiem|2 300 zł|Gdańsk, |Orunia Górna, | • 2 pokoje|WYSOKI STANDARD|40 m²||3/4|4||ANEKS KUCHENNY||||||Wtórny|WŁASNOŚĆ||NISKI BLOK|09.04.2024|10.04.2024|morizon-53/4070/OMW|134|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||||||||
Mieszkanie 36 m2 z ogródkiem nad morzem w Gdańsku|2 500 zł|Gdańsk, |Jelitkowska| • 1 pokój|WYSOKI STANDARD|36,50 m²|||3||ANEKS KUCHENNY||||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|10.04.2024|11.04.2024|morizon-4844/3685/OMW|127|0|1||||||C.O. Z SIECI MIEJSKIEJ|01.04.2024|MIESZANY||||||
3 pokojowe mieszkanie w Gdańsku w otulinie drzew|3 000 zł|Gdańsk, |Morena, | • 3 pokoje||62,40 m²|||4|2|||Tak||||Wtórny||Na wyłączność||12.04.2024|20.04.2024|morizon-620127753|142|0|||||1980|||15.04.2024|||||||
2 pokoje, balkon, Motława,|4 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||50 m²||7/8|8||||Tak||4000.00||Wtórny||Na wyłączność||17.04.2024|18.04.2024|morizon-440777|18|0|1||Nie|10 m²|2022||Co miejskie|15.05.2024||1|||||
Eleganckie mieszkanie z pięknym widokiem Albatross|4 600 zł|Gdańsk, |Przymorze, | • 3 pokoje||60 m²||17/17|17||||Tak||||Wtórny|||Apartamentowiec|10.04.2024|18.04.2024|morizon-PAN486146|124|0|||||||Co Miejskie||Konstrukcja mieszana||||||
Przestronne, minimalistyczne 3-pokojowe mieszkanie w Garnizonie|4 800 zł|Gdańsk, |Strzyża, | • 3 pokoje|Wysoki standard|57 m²||4/5|5||Aneks|Tak|Tak||||Wtórny|||Apartamentowiec|29.03.2024|08.04.2024|morizon-gratka-34055003|245|0|||||2016||||Inny||||||
Pokój na Wynajem blisko stacji PKM|1 500 zł|Gdańsk, |Osowa, | • 1 pokój||11,50 m²|||1||||Nie||||Wtórny||Na wyłączność|Dom Wielorodzinny|09.04.2024|10.04.2024|morizon-DH330674|193|0|||||||Gazowe|09.04.2024|YTong||||||
2 pokoje, niezamieszkane, 1,5 km. od morza|2 400 zł|Gdańsk, |Letnica, | • 1 pokój|Wysoki standard|32,38 m²||6/15|15||||Tak||||Wtórny|Własność||Apartamentowiec|15.04.2024|22.04.2024|morizon-FEWU893|75|0|||||2023||Ogrzewanie miejskie||Mieszana||||||
"| Słoneczne 3 pokoje z balkonem | piękny widok |"|2 510 zł|Gdańsk, |Niedźwiednik, | • 3 pokoje|Normalny|60,50 m²|265 cm|2/4|4||Kuchnia zamykana z oknem||Tak||||Wtórny|Własność|Na wyłączność|Wielorodzinny|16.04.2024|22.04.2024|morizon-GUCY397|108|0|||||1988||Ogrzewanie miejskie||Mieszana||||||
Urządzone, nowe , super skomunikowane|2 950 zł|Gdańsk, |Kokoszki, | • 2 pokoje||40,87 m²||3/4|4|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|22.04.2024|22.04.2024|morizon-395826|1|0|||||2021||Co Miejskie|01.05.2024|Silikat|1|||||
Gdańsk 3 pokoje ogórdek, miejsce w hali garażowej|3 100 zł|Gdańsk, |Jasień, | • 3 pokoje||60 m²|||4||||||||Wtórny|||Blok Mieszkalny|22.04.2024|22.04.2024|morizon-PH112687|1|0|||||2022||Co Miejskie||YTong||||||
"Na wynajem od zaraz | 2 pok., 50m2 | Nowy Jasień"|3 300 zł|Gdańsk, |Jasień, | • 2 pokoje|BARDZO WYSOKI STANDARD|50 m²||2/4|4||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||NISKI BLOK|18.04.2024|22.04.2024|morizon-BON45416|37|0|||||2021||C.O. Z SIECI MIEJSKIEJ|18.04.2024|||||||
SOLVO - styl życia|3 300 zł|Gdańsk, |Krynicka| • 2 pokoje||38,70 m²||9/12|12|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|16.04.2024|16.04.2024|morizon-EC976906|52|0|||||2018||Co Miejskie|01.05.2024|||||||
M1 = K A W A L E R K A z D U Z Y M O G R O D EM|1 899 zł|Gdańsk, |Orunia Górna, | • 1 pokój||31,46 m²|||2|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|04.04.2024|22.04.2024|morizon-872029|198|0|||Tak||2002||Co Miejskie||YTong||||||
Kawalerka 34,20m Osowa ul.Zeusa wyposażone, balkon|2 000 zł|Gdańsk, |Osowa| • 1 pokój|WYSOKI STANDARD|34,20 m²|255 cm|1/3|3||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|18.04.2024|22.04.2024|morizon-6/7963/OMW|81|0|1||||2012||C.O. WŁASNE|01.05.2024|CEGŁA||||||
"Mieszkanie 2 Pokojowe | Duży Balkon | Garaż - Jasień | Morelova"|2 000 zł|Gdańsk, |Jasień| • 2 pokoje|Bardzo dobry|45 m²||3/3|3||Aneks kuchenny||||||Wtórny|Własność|||10.04.2024|09.04.2024|morizon-23165|230|0|1||||2023||||||||||
Nowe budownictwo, miejsce w hali, 1,5 km. od morza|2 200 zł|Gdańsk, |Letnica, | • 1 pokój|Normalny|31,97 m²||9/15|15||||Tak||||Wtórny|Własność||Apartamentowiec|17.04.2024|22.04.2024|morizon-ZOJA385|57|0|||||2020||Ogrzewanie miejskie||Mieszana||||||
Nigdy nie użytkowane mieszkanie, umeblowane mieszkanie na wynajem|2 300 zł|Gdańsk, |Orunia Górna-Gdańsk Południe, | • 2 pokoje|Bardzo dobry|38 m²|230 cm|4/4|4||Aneks|Tak|Tak||||Wtórny|Własność||Blok|20.04.2024|20.04.2024|morizon-61|18|0|1|7 m²|Nie||2024|Bardzo dobry||20.04.2024|Bloczki|1|||||
2 pokoje- najem długoterminowy- wolne od 1 maja|2 300 zł|Gdańsk, |Przymorze, | • 2 pokoje||38 m²||8/10|10||||Tak||||Wtórny||Na wyłączność|Wieżowiec|17.04.2024|22.04.2024|morizon-CP122718|56|0|||||||Co Miejskie||||||||
Neo Jasień, zielona okolica, ogródek, nowe osiedle|2 400 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Bardzo dobry|36 m²||||1|Aneks kuchenny|Tak|Tak|PCV|3500|400|Wtórny|||Budynek wielorodzinny|15.04.2024|15.04.2024|morizon-DFI-MW-1430|65|0|1||||||||||||||
"Mieszkanie 2 Pokojowe | Balkon | Garaż - Chełm"|2 400 zł|Gdańsk, |Chełm| • 2 pokoje|Bardzo dobry|40 m²||3/3|3||Aneks kuchenny||||||Wtórny|Własność|||11.04.2024|17.04.2024|morizon-23169|179|0|1||||2023||||||||||
Elegancka kawalerka w Centrum na długi termin|2 500 zł|Gdańsk, |Śródmieście, | • 1 pokój||31 m²||5/5|5|1|||Tak||||Wtórny|||Apartamentowiec|21.03.2024|04.04.2024|morizon-DH255321|191|0|||||2019||Co Miejskie|01.04.2024|||||||
Piękne Studio 32m2 Gdańsk ul.Hynka 18 od ZARAZ|2 900 zł|Gdańsk M., |Gdańsk, | • 1 pokój|Wysoki standard|32 m²|270 cm|3/17|17|1|Jasna z oknem||Tak|PCV 3 szyby, ciepły montaż|3500|450|Wtórny|||Apartamentowiec|10.04.2024|10.04.2024|morizon-M4G-MW-181-1|110|0|1||Tak||2021||||Beton, cegła||||||
Bez prowizji! Mieszkanie 3 pokoje, Gdańsk-Wrzeszcz|4 440 zł|Gdańsk, |Jana Kilińskiego| • 3 pokoje||60,14 m²||1/5|5||ANEKS KUCHENNY||||||Wtórny|||APARTAMENTOWIEC|05.04.2024|18.04.2024|morizon-72/14488/OMW|126|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
"| Urokliwe mieszkanie | serce Starówki |"|4 850 zł|Gdańsk, |Starówka, | • 3 pokoje|Normalny|40,98 m²||2/3|3||Kuchnia otwarta z oknem||||||Wtórny|Własność|Na wyłączność|Kamienica|21.04.2024|22.04.2024|morizon-MOJI107|15|0|||||1955||Ogrzewanie miejskie||Cegła||||||
Piękny apartament pod wynajem Gdańsk Aniołki|5 000 zł|Gdańsk, |Aniołki, | • 4 pokoje||117,50 m²|||4|3|||Tak||||Wtórny|||Blok Mieszkalny|24.03.2024|28.03.2024|morizon-DH228080|180|0|||Tak||1995||Co Miejskie|01.03.2024|||||||
Bez prowizji mieszkanie 2 pokoje, Gdańsk-Ujeścisko|2 330 zł|Gdańsk, |Mariana Kołodzieja| • 2 pokoje||39,90 m²|270 cm|1/3|3||ANEKS KUCHENNY||Tak||||Wtórny|||NISKI BLOK|11.04.2024|22.04.2024|morizon-75/14488/OMW|126|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
Bez prowizji mieszkanie 2 pokoje, Gdańsk-Ujeścisko|2 375 zł|Gdańsk, |Mariana Kołodzieja| • 2 pokoje||41,27 m²|270 cm|1/3|3||ANEKS KUCHENNY||Tak||||Wtórny|||NISKI BLOK|05.04.2024|18.04.2024|morizon-74/14488/OMW|162|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
Bardzo fajne mieszkanie|2 400 zł|Gdańsk, |Kiełpinek, | • 2 pokoje||47 m²||1/2|2|1|||Tak||||Wtórny|||Blok Mieszkalny|29.03.2024|17.04.2024|morizon-TY128869|153|0|||||2005||Co Miejskie||||||||
Kawalerka Gdańsk Oliwa|2 500 zł|Gdańsk, |Oliwa, | • 1 pokój||30 m²|||2||||Nie||||Wtórny||Na wyłączność|Blok Mieszkalny|04.04.2024|08.04.2024|morizon-DH426278|142|0|||||||Co Własne|27.03.2024|||||||
Zostań szczęśliwym Najemcą ! Osiedle Optima|2 600 zł|Gdańsk, |Jasień, | • 2 pokoje||44 m²||4/4|4||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|05.04.2024|21.04.2024|morizon-TY715982|132|0|||||2020||Co Miejskie|01.08.2023|||||||
Apartament Gdańsk Oliwa|2 900 zł|Gdańsk, |Oliwa, | • 2 pokoje||43,40 m²||1/2|2|1|||Tak||||Wtórny||Na wyłączność|Dom Wielorodzinny|27.03.2024|18.04.2024|morizon-DH760214|210|0|||||||Co Własne|27.03.2024||1|||||
Piękne Gdańsk 37m2 Nowe dostępne od ZARAZ 2 pokoje|3 200 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Wysoki standard|37 m²|270 cm|1/5|5|2|Aneks kuchenny - połączony z salonem||Tak|PCV 3 szyby, ciepły montaż|4500|650|Wtórny|||Apartamentowiec|04.03.2024|04.03.2024|morizon-M4G-MW-174|127|0|1||Tak||2023||||Beton, cegła||||||
Mieszkanie na wynajem w świetnej lokalizacji|4 500 zł|Gdańsk, |Oliwa, | • 3 pokoje||55 m²||2/3|3||||||||Wtórny||Na wyłączność|Kamienica|12.04.2024|14.04.2024|morizon-TY640182|94|0|||||1911||Co Miejskie||||||||
Nowoczesna Kawalerka z miejscem postojowym|2 100 zł|Gdańsk, |Jasień, | • 1 pokój||30 m²||1/4|4||||Tak||||Wtórny|||Blok Mieszkalny|21.04.2024|21.04.2024|morizon-DJ809551|15|0|||||2019||Co Miejskie|14.04.2024|YTong|1|||||
Lawendowe Wzgórze 2 pok wynajem miejsce parkingowe|2 100 zł|Gdańsk, |Jasień, | • 2 pokoje||30 m²||1/5|5||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|29.03.2024|06.04.2024|morizon-DH704475|199|0|||||2020||Co Miejskie|01.04.2024|||||||
od 1 czerwca - blisko skm Przymorze, uniwersytet|2 200 zł|Gdańsk, |Przymorze, | • 1 pokój||27 m²||3/4|4||||||||Wtórny||Na wyłączność|Blok Mieszkalny|02.04.2024|08.04.2024|morizon-NIK655095|215|0|||||1980||Co Miejskie||||||||
"Komfortowe Mieszkanie 2 Pokojowe | Balkon | Garaż - Jasień | Optima"|2 300 zł|Gdańsk, |Jasień| • 2 pokoje|Bardzo dobry|50 m²||1/5|5||Aneks kuchenny||||||Wtórny|Własność|||18.04.2024|18.04.2024|morizon-23214|62|0|1||||2022||||||||||
Wynajmę 2 pokoje Gdańsk Zaspa|2 500 zł|Gdańsk, |Zaspa, | • 2 pokoje||31,80 m²||4/10|10|1|||Nie||||Wtórny|||Wieżowiec|12.04.2024|15.04.2024|morizon-PAN681556|136|0|||||1970||Co Miejskie|01.05.2024|Wielka płyta||||||
Dwa pokoje/Nova Oliwa - wynajem|2 800 zł|Gdańsk, |Przymorze, | • 2 pokoje||42,39 m²||2/3|3||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|27.03.2024|22.04.2024|morizon-TY496347|249|0|||||2010||Co Miejskie||||||||
Do wynajęcia wyposażony Apartament z balkonem. Wyjątkowe miejsce Gdańsk Starówka|3 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje|Dobry|52 m²||2/3|3||Półotwarta|Tak|Tak||||Wtórny|Własność|Na wyłączność|Apartamentowiec|06.04.2024|06.04.2024|morizon-KM08459|122|0|1||Nie||2012|Dobry|C.o. miejskie|06.04.2024|Zróżnicowany||||||
Garnizon 2 pokoje 55 m2 od 24 kwietnia|3 600 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Wysoki standard|55 m²|300 cm|8/8|8|2|Aneks kuchenny - połączony z salonem||Tak|PCV 3 szyby, ciepły montaż|5000|580|Wtórny|||Apartamentowiec|08.04.2024|08.04.2024|morizon-M4G-MW-180|248|0|1||Tak||2019||||Beton, cegła||||||
"Brabank | lokalizacja i standard"|5 300 zł|Gdańsk, |Śródmieście, | • 2 pokoje||44,03 m²||3/5|5|1|||||||Wtórny|||Apartamentowiec|23.01.2024|23.01.2024|morizon-Modern Old Town 4|66|0|||||2022||||||||||
Nowoczesna Kawalerka z miejscem postojowym|2 100 zł|Gdańsk, |Jasień, | • 1 pokój||30 m²||1/4|4||||Tak||||Wtórny|||Blok Mieszkalny|20.04.2024|21.04.2024|morizon-DJ649109|38|0|||||2019||Co Miejskie|14.04.2024|YTong|1|||||
