Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Rynek|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Typ kuchni|Liczba łazienek|Balkon|Taras|Forma własności|Stan budynku|Stan nieruchomości|Stolarka okienna|Dostępne od|Wysokość wnętrza|łazienka razem z WC|Depozyt za wynajem|Pow. balkonu|Pow. ogródka|Cena do negocjacji|Pow. łazienki
Mieszkanie 2-pokojowe Sopot Aquarius|3 400 zł|Sopot, |Armii Krajowej| • 2 pokoje|38 m²|2/4|4||1|Wtórny|Na wyłączność|Apartamentowiec|Inny|2014|Miejskie|10.04.2024|10.04.2024|morizon-67|158|0|Aneks|1|Tak||Inny||Bardzo dobry|PCV|10.04.2024||Tak|1000||||
2 pok mieszkanie w Sopocie z miejscem postojowym|3 500 zł|Sopot, |Dolny, | • 2 pokoje|40 m²|2/3|3|1|1|Wtórny|Na wyłączność|Kamienica|Pustak|2005|Co Miejskie|17.03.2024|21.04.2024|morizon-DJ519166|298|0|||Tak||||||13.04.2024|||||||
Mieszkanie z dwoma balkonami, najem długoterminowy|5 000 zł|Sopot, |Stefana Okrzei| • 3 pokoje|62 m²|2/3|3|1|2|Wtórny|Na wyłączność|||||09.04.2024|12.04.2024|morizon-EC160571|136|0|||Tak||||||01.06.2024|||||||
Piękny apartament w przedwojennym domu w Sopocie|5 700 zł|Sopot, |Górny, | • 4 pokoje|110 m²||2|||Wtórny||Dom Wielorodzinny|||Co Miejskie|04.03.2024|17.04.2024|morizon-DH604251|283|0|||||||||24.10.2023|||||||
Sopot Kamienny Potok z charakterem|2 900 zł|Sopot, |Kamienny Potok, | • 2 pokoje|45,63 m²|7/7|7|||Wtórny|Na wyłączność|WIEŻOWIEC|||C.O. Z SIECI MIEJSKIEJ|22.03.2024|21.04.2024|morizon-48828/2089/OMW|221|0|ANEKS KUCHENNY|1|Tak||SPÓŁDZIELCZE WŁASNOŚCIOWE||||25.03.2024|240 cm||||||
Trzypokojowy apartement z dużym ogródkiem|6 500 zł|Sopot, |Władysława Łokietka| • 3 pokoje|74 m²|||||Wtórny||BLOK||||18.04.2024|18.04.2024|morizon-24/7067/OMW|36|0|||||||WYSOKI STANDARD|||||||||
Wysoki standard, cicha okolica, 1 miejsce w hali|3 500 zł|Sopot, |Dolny, | • 2 pokoje|42 m²|1/3|3|||Wtórny|Na wyłączność|Blok Mieszkalny|YTong|2019|Co Miejskie|11.04.2024|12.04.2024|morizon-PAN189265|135|0|||Tak|||||||||||||
3 pokoje z dużym tarasem i ogródkiem|6 500 zł|Sopot, |Władysława Łokietka| • 3 pokoje|74 m²||3||2|Wtórny|Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|2000|Co Miejskie|18.03.2024|04.04.2024|morizon-CP27617170|66|0||||Tak|||||15.03.2024|||||||
Sopot, 2-pokoje, ul. Łokietka 19|4 000 zł|Sopot, |Władysława Łokietka| • 2 pokoje|45 m²|1/3|3||1|Wtórny|Na wyłączność|Apartamentowiec|Inny|2011|Miejskie|02.02.2024|10.04.2024|morizon-265|331|0|Aneks|1|Tak||Inny||Bardzo dobry|PCV|05.02.2024||Tak|1000||||
Idealna lokalizacja- Sopot ul. Władysława IV|2 000 zł|Sopot, |Karlikowo, | • 2 pokoje|37 m²|2/3|3||1|Wtórny|Na wyłączność|||||18.04.2024|18.04.2024|morizon-448354|78|0||||||||||||||||
2-pokojowe mieszkanie na os.Parkur|2 400 zł|Sopot, |Karlikowo, | • 2 pokoje|41 m²||4|1||Wtórny||Apartamentowiec||2006|Co Miejskie|31.12.2023|12.04.2024|morizon-DJ547146|1 083|0||||Tak|||||13.03.2024|||||||
Wyjątkowe mieszkanie na wynajem w Sopocie|5 500 zł|Sopot, |Dolny, | • 3 pokoje|69 m²|3/3|3||2|Wtórny|Na wyłączność|Kamienica|||Co Miejskie|19.12.2023|15.04.2024|morizon-DH815056|285|0|||Tak||||||20.12.2023|||||||
Mieszkanie - Sopot Brodwino|2 900 zł|Sopocki, |Sopot, | • 3 pokoje|54 m²|10/10|10|||Wtórny||||1975|C.o. miejskie|18.02.2024|20.04.2024|morizon-IB07297|273|0|Osobna|1|Tak|Nie|Spółdzielcze własnościowe z KW|Bardzo dobry|||||Nie||4 m²|||
