|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
2907|Sprzedam 2 pokoje w Gdańsku Zielony Południk|435000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 2||41.22||01-Apr||1.0|||Tak||||Pierwotny|||Blok Mieszkalny|13.04.2023|04.04.2024|morizon-PAN574072|1 062|0|||Nie||2022.0||Co Miejskie|13.04.2023|Pustak|||||||Sprzedaży|||||
2908|Idealne mieszkanie pod inwestycję|490542.0|Gdańsk|Chełm|Czerska| 2||43.03||04-Apr|||||Tak||||Pierwotny|||Blok Mieszkalny|22.03.2024|24.03.2024|morizon-ECN232344376|65|0|||||||Co Miejskie|||||||||Sprzedaży|||||
2909|Z widokiem na Zatokę|499000.0|Gdańsk|Letnica|Letnica, | 2||32.25||Oct-17||1.0|||||||Wtórny|||Apartamentowiec|07.11.2023|16.04.2024|morizon-466510|398|0|||||2023.0||Co Miejskie||Konstrukcja mieszana|||||||Sprzedaży|||||
2910|Atrakcyjne mieszkanie ze stacją ładowania|499626.0|Gdańsk|Orunia|Orunia, | 2||40.62||02-Apr||1.0|||||||Pierwotny||||24.03.2024|20.04.2024|morizon-Styl749227621|55|0|||||2024.0|||30.09.2024||||||||Sprzedaży|||||
2911|HOT OFERTA od ręki - widok na morze! (CESJA)|509000.0|Gdańsk|Letnica|Letnica, | 1 pokój||32.25||Oct-15|||||||||Wtórny||||06.04.2024|06.04.2024|morizon-OF681681|60|0||||||||||||||||Sprzedaży|||||
2912|kawalerka 32m Gdańsk Przymorze sprzedam|515000.0|Gdańsk|Przymorze|Przymorze, | 1 pokój|Bardzo dobry|32.2|230 cm|10-Oct|||Osobna|Tak|Tak||||Wtórny|Własność||Blok|15.02.2024|13.03.2024|morizon-128|318|0|1.0|2 m²|Nie||1985.0|Bardzo dobry|Miejskie|15.02.2024|Beton|1.0||||||Sprzedaży|||||
2913|Mieszkanie 2 pok. w stanie deweloperskim|520000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 2||50.5||05-May|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|21.11.2023|09.04.2024|morizon-PAN440307|354|0|||Nie||2023.0||Co Miejskie||Wielka płyta|||||||Sprzedaży|||||
2914|Unikalna kawalerka na sprzedaż! PROMOCJA|523957.0|Gdańsk|Siedlce|Siedlce, | 1 pokój||31.04||04-Jun|||||Tak||||Pierwotny|||Blok Mieszkalny|06.03.2024|12.04.2024|morizon-HEX856642|67|0|||||2025.0||Co Miejskie||Cegła|||||||Sprzedaży|||||
2915|"Mieszkanie 2 pokojowe z potencjałem | spółdzielczo własnościowe | duży balkon |"|530000.0|Gdańsk|Piecki-Migowo|Morena| 2|Dobry|42.5||02-Apr|||Jasna||||||Wtórny|Spół. własnościowe|||29.01.2024|17.04.2024|morizon-524663|377|0|1.0||||1976.0|||||||||||Sprzedaży|||||
2916|Przytulne dwa pokoje z ogródkiem|545000.0|Gdańsk|Jasień|Jasień| 2||37.22||01-Apr|||||||||Wtórny|||Blok Mieszkalny|19.12.2023|27.03.2024|morizon-R-314508|228|0|||||2016.0|||31.01.2024||1.0||||||Sprzedaży|||||
2917|DO REMONTU Z DUŻYM POTENCJAŁEM|559000.0|Gdańsk|Nowy Port|Nowy Port, | 2||61.15||02-Mar||2.0|||Nie||||Wtórny|||Kamienica|11.11.2023|28.03.2024|morizon-PAN421533|671|0|||Nie||1906.0||Gazowe||Cegła|||||||Sprzedaży|||||
