|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
760|Wyjątkowe M3 ze słonecznym tarasem -os. Front Park|1396000.0|Gdańsk|Śródmieście|Śródmieście, | 3||65.0||02-Mar||2.0|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|04.04.2024|04.04.2024|morizon-444675|107|5|||||2018.0||Co Miejskie||Porotherm|1.0||||||Sprzedaży|||||
761|"3 pokoje | dobrze skomunikowane | duży balkon"|675000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 3||53.46||01-Mar||2.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|16.03.2024|16.04.2024|morizon-330279|184|5|||||2016.0||Co Miejskie|||||||||Sprzedaży|||||
762|DOBRA CENA 3 POKOJE HARMONIA OLIWSKA GDAŃSK|1499000.0|Gdańsk|Oliwa|Oliwa, | 3||62.74||02-Jun||2.0|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|15.03.2024|20.04.2024|morizon-TC326133|205|5|||||2018.0||Co Miejskie|04.03.2024||1.0||||||Sprzedaży|||||
763|Opis nieruchomości|1000000.0|Gdańsk (Grodzki) |Gdańsk|Gdańsk, | 2|Po remoncie|55.28||01-Apr||||||||350.0|Wtórny|Własność|||13.04.2024|15.04.2024|morizon-18730008|43|5|||||2015.0||Gazowe||Gazobeton|||||||Sprzedaży||Mieszkanie|||
764|Opis nieruchomości|439000.0|Gdańsk (Grodzki) |Gdańsk|Gdańsk, | 1 pokój|Wysoki standard|28.0||01-May|||||Tak|||280.0|Wtórny|Własność|||09.04.2024|09.04.2024|morizon-18650008|79|5|||||2023.0||Miejskie||Inne|||||||Sprzedaży||Mieszkanie|||
765|Słoneczne mieszkanie Gdańsk Chełm, 3 pokoje|669000.0|Gdańsk|Chełm|Chełm, | 3|WYSOKI STANDARD|63.4||04-Apr|||Z OKNEM||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|26.03.2024|27.03.2024|morizon-669/3071/OMS|131|5|1.0||||1988.0||C.O. Z SIECI MIEJSKIEJ|26.03.2024|WIELKA PŁYTA|||||||Sprzedaży|||||
766|Nadmorskie 3-pokojowe mieszkanie, osiedle Awiator|1399000.0|Gdańsk|Zaspa|Zaspa, | 3||71.43||03-Oct||2.0|||||||Wtórny|||Apartamentowiec|02.03.2024|27.03.2024|morizon-726757|274|5||||||||||1.0||||69 m²||Sprzedaży|||||
767|Przestronna kawalerka po generalnym remoncie|529000.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój||27.22||01-Apr||1.0|||||||Wtórny||Na wyłączność|Kamienica|21.02.2024|02.04.2024|morizon-141225|255|5|||||1956.0||Co Miejskie||Cegła|||||||Sprzedaży|||||
768|Bastion Wałowa - apartament idealny pod inwestycje|780000.0|Gdańsk|Śródmieście|Śródmieście, | 2||38.41||03-May||1.0|||Tak||||Wtórny|||Apartamentowiec|08.03.2024|08.03.2024|morizon-846021|117|5|||||2020.0||Co Miejskie|19.12.2023|Konstrukcja żelbetowa|||||||Sprzedaży|||||
769|Słoneczne 2 pokoje z dużym balkonem|539000.0|Gdańsk|Chełm|Kazimierza Wielkiego| 2||39.05||02-Apr|||||||||Wtórny||||06.04.2024|06.04.2024|morizon-THO872946|70|5|||||2018.0|||||||||||Sprzedaży|||||
770|Atrakcyjne, 3-pokojowe z panoramicznym widokiem|1359000.0|Gdańsk|Suchanino|Suchanino| 3||84.5||03-Apr|||||Tak||||Wtórny|||Apartamentowiec|26.02.2024|04.03.2024|morizon-935879|129|5|||||2011.0||Co Miejskie|27.02.2024||1.0||||||Sprzedaży|||||
771|Partyzantów 107 - Kawalerka z dużym balkonem|489000.0|Gdańsk|Wrzeszcz|Partyzantów| 1 pokój||31.4||04-Apr|||||Tak||||Wtórny||||26.01.2024|13.04.2024|morizon-THO636161|300|5||||||||||||||||Sprzedaży|||||
772|Idealna inwestycja 200m od politechniki. ROI 10%|749000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 3||46.95||10-Oct||3.0|||Tak||||Wtórny||Na wyłączność||19.02.2024|19.02.2024|morizon-THO156922|530|5|||||1970.0|||||||||||Sprzedaży|||||
773|Orunia Górna, dwa pokoje z dużym balkonem|559000.0|Gdańsk|Orunia|Orunia Górna, | 2||43.26||02-Mar||1.0|||||||Wtórny||||26.01.2024|29.01.2024|morizon-THO893447|552|5|||||2020.0|||||||||||Sprzedaży|||||
774|Idealna inwestycja 2 mieszkania 300m od Neptuna|860000.0|Gdańsk|Śródmieście|Śródmieście, | 4||77.58||02-Feb||2.0|||||||Wtórny||||24.07.2023|26.01.2024|morizon-THO700337|358|5||||||||01.09.2023||||||||Sprzedaży|||||
775|Klimatyczne mieszkanie w kamienicy we Wrzeszczu|1990000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 5||110.0||01-Apr|||||Tak||||Wtórny||Na wyłączność|Kamienica|11.04.2024|22.04.2024|morizon-MG320762|54|4|||Tak||1906.0||Co Miejskie|||1.0||||||Sprzedaży|||||
776|3 pokoje na Zaspie|765000.0|Gdańsk|Zaspa|Zaspa, | 3||49.0||01-Oct|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|12.04.2024|15.04.2024|morizon-MG171501|126|4|||||1980.0||Co Miejskie|||1.0||||||Sprzedaży|||||
777|Parter po remoncie generalnym|664900.0|Gdańsk|Strzyża|Strzyża, | 2||42.2||01-Apr||1.0|||||||Wtórny||Na wyłączność|Blok Mieszkalny|10.04.2024|18.04.2024|morizon-MG877533|45|4|||||1979.0||Co Miejskie|||1.0||||||Sprzedaży|||||
778|Ustawne 3 pokoje! Możliwość 4 pokoi! Gdańsk Chełm|635000.0|Gdańsk|Chełm|Chełm, | 3||66.2||02-Mar|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|08.04.2024|08.04.2024|morizon-MG149101|96|4|||||1985.0||Co Miejskie|||1.0||||||Sprzedaży|||||
779|Wiszące Ogrody! 3 oddzielne pokoje! Osobna kuchnia|799000.0|Gdańsk|Jasień|Jasień, | 3||64.0||01-Aug|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|02.04.2024|22.04.2024|morizon-MG710447|83|4|||||2012.0||Co Miejskie|||1.0||||||Sprzedaży|||||
780|2 pokoje z ogrodem|469000.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 2||38.0||01-Apr|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|10.04.2024|11.04.2024|morizon-MG598674|74|4|||||2016.0||Co Miejskie|||1.0||||||Sprzedaży|||||
781|Najlepsza lokalizacja w Gdańsku|900000.0|Gdańsk|Strzyża|Strzyża, | 2||68.0||03-Mar|||||||||Wtórny||Na wyłączność|Apartamentowiec|21.03.2024|11.04.2024|morizon-MG543335|90|4|||Tak||2000.0||Co Miejskie|||2.0||||44,44 m²||Sprzedaży|||||
782|Trzy oddzielne pokoje idealne pod inwestycje|739000.0|Gdańsk|Przymorze|Przymorze, | 3||50.0||01-Apr||3.0|||||||Wtórny||Na wyłączność|Blok Mieszkalny|19.03.2024|18.04.2024|morizon-MG200139|199|4|||||1962.0||Co Miejskie|||||||||Sprzedaży|||||
783|2 pokoje I Ujeścisko I Dostępne od zaraz|549900.0|Gdańsk|Ujeścisko-Łostowice|Ujeścisko, | 2||55.7||04-Apr|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|10.04.2024|22.04.2024|morizon-MG621941|69|4|||||1995.0||Co Miejskie|||1.0||||||Sprzedaży|||||
784|Chełm, Szpora 2 pokoje|599000.0|Gdańsk|Chełm|Chełm, | 2||44.49||03-Mar|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|08.04.2024|09.04.2024|morizon-MG190768|217|4|||||2010.0||Co Miejskie|||||||||Sprzedaży|||||
785|Trzy pokoje dla TWOJEJ rodziny|789000.0|Gdańsk|Ujeścisko-Łostowice|Myśliwska| 3||55.7||02-Mar||2.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|26.03.2024|18.04.2024|morizon-MG217523|140|4|||||2019.0||Co Miejskie|||1.0||||||Sprzedaży|||||
786|2 POKOJE PO REMONCIE VII DWÓR|665000.0|Gdańsk|VII Dwór|Vii Dwór, | 2||42.2||01-Apr||1.0|||||||Wtórny||Na wyłączność|Blok Mieszkalny|08.03.2024|12.04.2024|morizon-MG898778|48|4|||||1979.0||Co Miejskie|||1.0||||||Sprzedaży|||||
787|Wiszące Ogrody! 3 oddzielne pokoje! Osobna kuchnia|799000.0|Gdańsk|Jasień|Kiełpinek, | 3||64.0||01-Aug|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|28.03.2024|22.04.2024|morizon-MG155333|51|4|||||2012.0||Co Miejskie|||1.0||||||Sprzedaży|||||
788|4 USTAWNE POKOJE NA KAMERALNYM, NOWYM OSIEDLU|829000.0|Gdańsk|Orunia|Orunia Górna, | 4||71.99||02-Feb|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|30.01.2024|11.04.2024|morizon-MG518267|179|4|||Tak||2021.0||Co Własne|||1.0||||67,24 m²||Sprzedaży|||||
789|Piękne mieszkanie 5 pokojowej Brzeźno Gdańsk|3170000.0|Gdańsk|Brzeźno|Brzeźno, | 5||125.0||02-Feb||2.0|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|05.04.2024|05.04.2024|morizon-MG392788|18|4|||Tak||2015.0||Co Miejskie|||2.0||||105 m²||Sprzedaży|||||
790|"Blisko morza | Świetna lokalizacja | Inwestycyjnie"|499000.0|Gdańsk|Przymorze|Przymorze, | 2||22.49||04-Apr|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|01.02.2024|10.04.2024|morizon-MG873239|485|4|||||1970.0||Co Miejskie|||1.0||||||Sprzedaży|||||
791|Centrum Wrzeszcza - kawalerka|584999.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 1 pokój||35.0||02-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|07.03.2024|12.04.2024|morizon-MG472128|113|4|||||1960.0||Co Miejskie|||1.0||||||Sprzedaży|||||
792|Mieszkanie na 1 piętrze z ogródkiem|410000.0|Gdańsk|Nowy Port|Nowy Port, | 2||44.5||01-Feb|||||||||Wtórny||Na wyłączność|Kamienica|03.04.2024|04.04.2024|morizon-MG531084|183|4|||||1906.0||Węglowe|||1.0||||||Sprzedaży|||||
793|2 pokoje we Wrzeszczu w super lokalizacji|619999.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2||44.54||01-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|13.01.2024|12.04.2024|morizon-MG802778|788|4|||||1960.0||Co Miejskie|31.03.2024|Cegła|1.0||||||Sprzedaży|||||
794|Jasień! 2 pokoje z ogrodem! Gotowe do zamieszkania|579000.0|Gdańsk|Jasień|Jasień, | 2||44.26||01-Apr||1.0|||||||Wtórny||Na wyłączność|Blok Mieszkalny|04.03.2024|27.03.2024|morizon-MG305165|182|4|||Tak||2020.0||Co Miejskie|||1.0||||||Sprzedaży|||||
795|Mieszkanie inwestycyjne w centrum Śródmieścia|645000.0|Gdańsk|Śródmieście|Śródmieście, | 2||40.0||02-Mar|||||||||Wtórny||Na wyłączność|Kamienica|18.03.2024|18.03.2024|morizon-MG932768|113|4|||||1897.0||Gazowe|||1.0||||39,52 m²||Sprzedaży|||||
796|Klimatyczne mieszkanie w doskonałej lokalizacji|699000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2||54.6||04-Apr||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|01.02.2024|20.03.2024|morizon-MG367817|328|4|||||1990.0||Co Miejskie||Cegła|1.0||||||Sprzedaży|||||
797|KLIMATYCZNE MIESZKANIE W ZABYTKOWEJ KAMIENICY|849000.0|Gdańsk|Śródmieście|Śródmieście, | 2||45.0||01-Mar|||||||||Wtórny||Na wyłączność|Kamienica|08.02.2024|01.04.2024|morizon-MG150587|107|4|||||1901.0||Gazowe|||1.0||||||Sprzedaży|||||
798|Duże 3 pokojowe słoneczne mieszknie Chełmn|770000.0|Gdańsk|Chełm|Chełm, | 3||70.0||01-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|11.03.2024|11.03.2024|morizon-MG987734|140|4|||||2006.0||Co Miejskie|||||||||Sprzedaży|||||
799|Prestiżowe Mieszkanie blisko Motławy|1999000.0|Gdańsk|Śródmieście|Śródmieście, | 3||72.0||03-Jun||2.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|24.08.2023|30.03.2024|morizon-MG890764|545|4|||||2022.0||Co Miejskie|01.08.2023||1.0||||||Sprzedaży|||||
800|NAJBARDZIEJ PRESTIŻOWA INWESTYCJA W GDAŃSKU|1420000.0|Gdańsk|Śródmieście|Śródmieście, | 2||46.36||03-May|||||||||Wtórny||Na wyłączność|Apartamentowiec|06.02.2024|25.02.2024|morizon-MG915137|192|4|||||2016.0||Co Miejskie|||1.0||||||Sprzedaży|||||
801|Apartament z Widokiem na Motławe|1950000.0|Gdańsk|Śródmieście|Śródmieście, | 3||90.0||04-Apr|||||||||Wtórny||Na wyłączność|Apartamentowiec|07.02.2023|28.11.2023|morizon-MG767001|802|4|||Tak||2006.0||Co Miejskie|||1.0||||||Sprzedaży|||||
802|3-pokoje w kamienicy po generalnym remoncie|1249000.0|Gdańsk|Śródmieście|Śródmieście, | 3||77.0||02-Mar|||||||||Wtórny||Na wyłączność|Kamienica|07.08.2023|21.10.2023|morizon-MG512572|522|4|||||1907.0||Co Miejskie|||1.0||||||Sprzedaży|||||
803|Dwa pokoje po remoncie blisko morza|660000.0|Gdańsk|Przymorze|Przymorze, | 2||45.0||01-Apr|||||||||Wtórny||Na wyłączność|Blok Mieszkalny|19.02.2024|19.02.2024|morizon-MG843236|180|4|||||1970.0||Co Miejskie|||1.0||||||Sprzedaży|||||
804|Mieszkanie blisko Centrum, 4 pokoje dla Rodziny|960000.0|Gdańsk|Siedlce|Siedlce, | 4||72.17||01-Feb||3.0|||Tak||||Wtórny||Na wyłączność|Kamienica|27.02.2024|18.04.2024|morizon-ON355808|279|3|||||1936.0||Gazowe||Cegła|2.0||||||Sprzedaży|||||
805|"Przestronne i Nowoczesne Mieszkanie | Gdańsk Osowa"|549000.0|Gdańsk|Osowa|Osowa, | 2||44.4||02-Mar|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|29.02.2024|18.04.2024|morizon-ON386392|479|3|||||2012.0||Co Własne|||||||||Sprzedaży|||||
806|"Unikatowe 2-poziomy | Loft blisko centum Gdańska"|998000.0|Gdańsk|Siedlce|Siedlce, | 3||61.59||02-Feb|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.02.2024|18.04.2024|morizon-ON557782|306|3|||||2019.0||Gazowe|||2.0||||||Sprzedaży|||||
807|"Eleganckie mieszkanie nad morzem | Letnica"|1299000.0|Gdańsk|Letnica|Letnica, | 3||72.5||Apr-16||1.0|||Nie||||Wtórny||Na wyłączność|Blok Mieszkalny|21.02.2024|18.04.2024|morizon-ON812603|156|3|||Nie||2021.0||Co Miejskie||Silikat|1.0||||||Sprzedaży|||||
808|"Mieszkanie na starym mieście | Centrum Gdańska"|949000.0|Gdańsk|Śródmieście|Śródmieście, | 2||43.86||03-Apr||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|26.02.2024|18.04.2024|morizon-ON110013|121|3|||||1954.0||Co Miejskie|15.02.2024|Cegła|1.0||||||Sprzedaży|||||
809|Eleganckie mieszkanie z pełnym wyposażeniem GDAŃSK|629000.0|Gdańsk|Matarnia|Matarnia, | 2||43.0||01-May|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|26.01.2024|18.04.2024|morizon-ON921432|406|3|||||2017.0||Co Miejskie|||||||||Sprzedaży|||||
810|Nowoczesne Mieszkanie w Gdańsku Ujeścisku|670000.0|Gdańsk|Ujeścisko-Łostowice|Ujeścisko, | 2||56.6||03-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|03.03.2024|18.04.2024|morizon-ON746356|207|3|||||2006.0||Co Miejskie|||||||||Sprzedaży|||||
811|"Wysoki standard | 2 pokoje | Osiedle Wolne Miasto"|619000.0|Gdańsk|Ujeścisko-Łostowice|Ujeścisko, | 2||42.19||02-Mar||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|01.02.2024|18.04.2024|morizon-ON740522|268|3|||||2018.0||Co Miejskie|||||||||Sprzedaży|||||
812|Atrakcyjne 3 pokoje na Dolnym Mieście w Gdańsku|820000.0|Gdańsk|Śródmieście|Dolne Miasto, | 3||59.16||01-Apr|||||Nie||||Wtórny||Na wyłączność|Blok Mieszkalny|06.02.2024|18.04.2024|morizon-ON867883|167|3|||||1990.0||Gazowe|07.02.2024|Cegła|||||||Sprzedaży|||||
813|Apartament na Śródmieściu z basenem|1160000.0|Gdańsk|Śródmieście|Śródmieście, | 2||46.0||04-Aug|||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|06.11.2023|11.04.2024|morizon-ON995745|734|3|||Tak||2018.0||Co Miejskie||Silikat|1.0||||||Sprzedaży|||||
814|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
815|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
816|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
817|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
818|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
819|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
820|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
821|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
822|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
823|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
824|Najtańszy apartament tuż przy Starym Mieście|379343.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|25.85||03-Apr|||||||||Pierwotny|||APARTAMENTOWIEC|27.03.2024|27.03.2024|morizon-418/8114/OMS|208|0|||||2024.0||C.O. Z SIECI MIEJSKIEJ|30.12.2024|PUSTAK|||||||Sprzedaży|||||
825|Nowoczesne mieszkanie w spokojnej okolicy|558828.0|Gdańsk|Chełm|Czerska| 3||58.03||01-Apr|||||Nie||||Pierwotny||||19.03.2024|19.03.2024|morizon-RANDALL506769|79|3|||Nie|||||30.06.2025||||||||Sprzedaży|||||
826|Nowoczesne mieszkanie w atrakcyjnej okolicy|686792.0|Gdańsk|Piecki-Migowo|Piecki-Migowo, | 3||57.29||01-Apr|||||Nie||||Pierwotny||||19.03.2024|19.03.2024|morizon-RANDALL307385|85|3|||Nie|||||30.06.2024||||||||Sprzedaży|||||
827|Dwa pokoje, oddzielna kuchnia, dwa balkony|580000.0|Gdańsk|Jasień|Jasień, | 2||55.52||01-Mar|||||Tak||||Wtórny|||Blok Mieszkalny|15.04.2024|15.04.2024|morizon-MG828941|51|2|||||2011.0||Co Miejskie|||1.0||||||Sprzedaży|||||
828|3 pok 61m2, balkon 3m2 garderoba, kuchnia z oknem|670000.0|Gdańsk|Jasień|Jasień, | 3|BARDZO WYSOKI STANDARD|64.0||04-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||NISKI BLOK|19.04.2024|19.04.2024|morizon-16752/5571/OMS|28|2|||||2023.0||C.O. Z SIECI MIEJSKIEJ||CEGŁA|||||||Sprzedaży|||||
829|2pok 54.1m2 taras 4.6m2 blisko morza IIQ24 PłdZach|757000.0|Gdańsk|Letnica|Letnica, | 2|DO WYKOŃCZENIA|58.0||08-Sep|||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ||NISKI BLOK|11.04.2024|16.04.2024|morizon-16734/5571/OMS|54|2|||||2024.0||C.O. Z SIECI MIEJSKIEJ||CEGŁA|||||||Sprzedaży|||||
830|4 pokoje z ładnym widokiem na Przymorzu|735000.0|Gdańsk|Przymorze|Przymorze| 4|DO ODŚWIEŻENIA|70.0||13|19||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ||WIEŻOWIEC|10.04.2024|15.04.2024|morizon-16728/5571/OMS|110|2|||||1979.0||C.O. Z SIECI MIEJSKIEJ||RAMA H|||||||Sprzedaży|||||
831|26.19 m2 balkon 4.5m2 wsch. IIIQ24 widok na wodę|442506.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój|DO WYKOŃCZENIA|30.69||02-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||APARTAMENTOWIEC|06.04.2024|16.04.2024|morizon-16723/5571/OMS|75|2|||||2024.0||C.O. Z SIECI MIEJSKIEJ||CEGŁA|||||||Sprzedaży|||||
832|36.38 m2 balkon 4.5m2 wsch. IIIQ24 widok na wodę|597000.0|Gdańsk|Śródmieście|Śródmieście, | 2|DO WYKOŃCZENIA|40.88||04-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||APARTAMENTOWIEC|08.04.2024|16.04.2024|morizon-16724/5571/OMS|85|2|||||2024.0||C.O. Z SIECI MIEJSKIEJ||CEGŁA|||||||Sprzedaży|||||
833|MOŻLIWOŚĆ ODDZIELENIA KUCHNI, 3 POK- OS. GAREDNIA|725000.0|Gdańsk|Jasień|Jasień, | 3||56.46||03-May|||||Tak||||Wtórny|||Blok Mieszkalny|17.04.2024|17.04.2024|morizon-MG566215|18|2|||||2016.0||Co Miejskie|||1.0||||||Sprzedaży|||||
834|2 piękne pokoje w sercu Wrzeszcza! Blisko morza|809900.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2|WYSOKI STANDARD|43.0||02-Mar|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||APARTAMENTOWIEC|11.04.2024|11.04.2024|morizon-16732/5571/OMS|121|2|||||2018.0||C.O. Z SIECI MIEJSKIEJ||INNY|||||||Sprzedaży|||||
835|Wyposażony apartament w sercu Starego Miasta|1300000.0|Gdańsk|Śródmieście|Śródmieście, | 2||56.0||01-Apr|||||Tak||||Wtórny|||Apartamentowiec|18.04.2024|18.04.2024|morizon-BU376863|31|2|||||2011.0||Co Miejskie|||||||||Sprzedaży|||||
836|duże słoneczne mieszkanie na ostatnim piętrze|1550000.0|Gdańsk|Letnica|Letnica, | 4||100.3||05-May||3.0|||Tak||||Wtórny|||Apartamentowiec|16.04.2024|16.04.2024|morizon-MG249879|9|2|||Tak||2023.0||Co Miejskie|||||||||Sprzedaży|||||
837|Ekolan Osiedle Pogodne 3pok ogród 90m2 Płd-Wsch|769000.0|Gdańsk|Ujeścisko-Łostowice|Ujeścisko, | 3|WYSOKI STANDARD|65.0||01-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||NISKI BLOK|15.04.2024|15.04.2024|morizon-16739/5571/OMS|35|2|||||2001.0||C.O. Z SIECI MIEJSKIEJ||CEGŁA|||||||Sprzedaży|||||
838|Niezwykłe 2 pokoje blisko morza|799900.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2|WYSOKI STANDARD|43.0||01-Apr|||ANEKS KUCHENNY||||||Wtórny|||APARTAMENTOWIEC|11.04.2024|11.04.2024|morizon-16731/5571/OMS|87|2|||||2019.0||C.O. Z SIECI MIEJSKIEJ||INNY|||||||Sprzedaży|||||
839|4 pokoje w Nowym Porcie|650000.0|Gdańsk|Nowy Port|Nowy Port, | 4||70.2||02-Oct|||||Tak||||Wtórny|||Blok Mieszkalny|04.04.2024|11.04.2024|morizon-MG943220|68|2|||||1980.0||Co Miejskie|||1.0||||||Sprzedaży|||||
